Jersey Number,Player,Position,Date_of_Birth,Age,Height,Weight,School,Years_In_NFL
QB,"Mahomes, Patrick",15,09/17/1995,29,"6' 02""",225,Texas Tech,8
QB,"Wentz, Carson",11,12/30/1992,32,"6' 05""",237,North Dakota State,9
QB,"Oladokun, Chris",19,09/03/1997,27,"6' 01""",213,South Dakota State,1
RB,"Hunt, Kareem",29,08/06/1995,29,"5' 10""",216,Toledo,8
RB,"Pacheco, Isiah",10,03/02/1999,26,"5' 10""",216,Rutgers,3
RB,"Perine, Samaje",34,09/16/1995,29,"5' 11""",236,Oklahoma,8
RB,"Steele, Carson",42,10/21/2002,22,"6' 01""",228,UCLA,R
RB,"Ingram, Keaontay",,10/26/1999,25,"5' 11""",220,USC,3
WR,"Brown, Hollywood",5,06/04/1997,27,"5' 09""",180,Oklahoma,6
WR,"Hardman, Mecole",17,03/12/1998,26,"5' 10""",187,Georgia,6
WR,"Hopkins, DeAndre",8,06/06/1992,32,"6' 01""",218,Clemson,11
WR,"Moore, Skyy",24,09/10/2000,24,"5' 10""",195,Western Michigan,3
WR,"Remigio, Nikko",81,11/04/1999,25,"5' 09""",187,Fresno State,1
WR,"Rice, Rashee",4,04/22/2000,24,"6' 01""",204,SMU,2
WR,"Smith-Schuster, JuJu",9,11/22/1996,28,"6' 01""",215,USC,8
WR,"Watson, Justin",84,04/04/1995,29,"6' 03""",215,Pennsylvania,7
WR,"Worthy, Xavier",1,04/27/2003,21,"5' 11""",165,Texas,R
WR,"Brownlee, Jason",89,01/30/1999,26,"6' 02""",202,Southern Miss,2
WR,"Ross, Justyn",82,12/15/1999,25,"6' 04""",210,Clemson,3
WR,"Thornton, Tyquan",19,08/07/2000,24,"6' 02""",182,Baylor,3
TE,"Fortson, Jody",,12/07/1995,29,"6' 04""",226,Valdosta State,4
TE,"Gray, Noah",83,04/30/1999,25,"6' 04""",240,Duke,4
TE,"Hendershot, Peyton",88,04/23/1999,25,"6' 04""",254,Indiana,3
TE,"Kelce, Travis",87,10/05/1989,35,"6' 05""",250,Cincinnati,12
TE,"Wiley, Jared",12,11/02/2000,24,"6' 06""",249,TCU,R
TE,"Cupp, Baylor",47,05/10/2000,24,"6' 06""",243,Texas Tech,R
TE,"Firkser, Anthony",85,02/19/1995,30,"6' 02""",241,Harvard,6
DE,"Anudike-Uzomah, Felix",97,01/24/2002,23,"6' 03""",255,Kansas State,2
PT,"Araiza, Matt",14,05/16/2000,24,"6' 02""",200,San Diego State,1
LB,"Bolton, Nick",32,03/10/2000,24,"6' 00""",237,Missouri,4
PK,"Butker, Harrison",7,07/14/1995,29,"6' 04""",205,Georgia Tech,8
OG/OC,"Caliendo, Mike",66,10/21/1997,27,"6' 04""",301,Western Michigan,2
LB,"Chenal, Leo",54,10/26/2000,24,"6' 03""",250,Wisconsin,3
LB,"Cochrane, Jack",43,02/09/1999,26,"6' 03""",236,South Dakota,3
CB,"Conner, Chamarri",27,07/11/2000,24,"6' 00""",202,Virginia Tech,2
S,"Cook, Bryan",6,09/07/1999,25,"6' 01""",206,Cincinnati,3
DE,"Danna, Mike",51,12/01/1997,27,"6' 02""",257,Michigan,5
OT,"Driskell, Ethan",75,06/29/2000,24,"6' 08""",313,Marshall,R
OG,"Hanson, C.J.",61,03/03/2001,23,"6' 05""",300,Holy Cross,R
DE,"Herring, Malik",94,11/09/1997,27,"6' 03""",275,Georgia,4
S,"Hicks, Jaden",21,08/16/2002,22,"6' 02""",215,Washington State,R
OC,"Humphrey, Creed",52,06/28/1999,25,"6' 05""",302,Oklahoma,4
OT,"Humphries, D.J.",70,12/28/1993,31,"6' 05""",307,Florida,10
CB,"Johnson, Nazeeh",13,07/17/1998,26,"5' 10""",199,Marshall,3
LB,"Jones, Cam",44,10/21/1999,25,"6' 01""",227,Indiana,2
DT,"Jones, Chris",95,07/03/1994,30,"6' 06""",310,Mississippi State,9
DE,"Karlaftis, George",56,04/03/2001,23,"6' 04""",263,Purdue,3
CB,"McDuffie, Trent",22,09/13/2000,24,"5' 10""",193,Washington,3
OG,"Mettauer, McKade",,07/19/2000,24,"6' 04""",307,Oklahoma,R
OT,"Morris, Wanya",64,10/10/2000,24,"6' 05""",307,Oklahoma,2
DT,"Nnadi, Derrick",91,05/09/1996,28,"6' 01""",317,Florida State,7
OC,"Nourzad, Hunter",60,11/26/2000,24,"6' 03""",317,Penn State,R
DE,"Omenihu, Charles",90,08/20/1997,27,"6' 05""",280,Texas,6
DT,"Pennel, Mike",69,05/09/1991,33,"6' 04""",330,Colorado State-Pueblo,10
S,"Reid, Justin",20,02/15/1997,28,"6' 00""",207,Stanford,7
S,"Roland-Wallace, Chris",30,11/23/2001,23,"5' 11""",202,USC,R
PK,"Shrader, Spencer",40,05/19/1999,25,"6' 01""",201,Notre Dame,R
OG,"Smith, Trey",65,06/16/1999,25,"6' 05""",321,Tennessee,4
OT,"Suamataia, Kingsley",76,01/18/2003,22,"6' 05""",326,BYU,R
OT,"Taylor, Jawaan",74,11/25/1997,27,"6' 05""",330,Florida,6
CB,"Taylor, Keith",39,05/03/1999,25,"6' 02""",195,Washington,3
DE,"Thompson, BJ",53,03/23/1999,25,"6' 05""",243,Stephen F. Austin,2
OG/OT,"Thuney, Joe",62,11/19/1992,32,"6' 05""",304,North Carolina State,9
LB,"Tranquill, Drue",23,08/15/1995,29,"6' 02""",234,Notre Dame,6
DT,"Tuipulotu, Marlon",92,05/31/1999,25,"6' 02""",307,USC,4
DE,"Uche, Joshua",55,09/18/1998,26,"6' 01""",240,Michigan,5
CB,"Watson, Jaylen",35,09/17/1998,26,"6' 01""",197,Washington State,3
DT,"Wharton, Tershawn",98,06/25/1998,26,"6' 01""",280,Missouri S&T,5
CB,"Williams, Joshua",2,10/17/1999,25,"6' 03""",193,Fayetteville State,3
LS,"Winchester, James",41,08/06/1989,35,"6' 03""",209,Oklahoma,10
LB,"Bradley, Shaun",,04/08/1997,27,"6' 01""",240,Temple,5
S,"Bush, Deon",26,08/14/1993,31,"6' 00""",200,Miami,9
OT,"Godrick, Chukwuebuka",72,10/11/2000,24,"6' 05""",293,No College,1
DT,"Ika, Siaki",99,11/07/2000,24,"6' 03""",335,Baylor,2
DT,"Lovett Sr., Fabien",96,12/05/1999,25,"6' 04""",316,Florida State,R
CB,"Rush, Darius",46,02/22/2000,25,"6' 02""",198,South Carolina,2
CB,"Scott Jr., Eric",29,08/07/1999,25,"6' 01""",197,Southern Miss,2
S,"Taylor II, Jason",,12/30/1999,25,"6' 00""",204,Oklahoma State,2
