Jersey Number,Player,Position,Date_of_Birth,Age,Height,Weight,School,Years_In_NFL
QB,"Bradley, Carter",14,03/09/2000,24,"6' 03""",213,South Alabama,R
QB,"Minshew II, Gardner",15,05/16/1996,28,"6' 01""",225,Washington State,6
QB,"O'Connell, Aidan",12,09/01/1998,26,"6' 03""",210,Purdue,2
QB,"Ridder, Desmond",10,08/31/1999,25,"6' 03""",207,Cincinnati,3
RB,"Abdullah, Ameer",8,06/13/1993,31,"5' 09""",203,Nebraska,10
RB,"Collier, Chris",33,03/24/2000,24,"5' 11""",210,Lock Haven,R
RB,"Laube, Dylan",23,12/14/1999,25,"5' 10""",206,New Hampshire,R
RB,"Mattison, Alexander",22,06/19/1998,26,"5' 11""",220,Boise State,6
RB,"McCormick, Sincere",28,09/10/2000,24,"5' 08""",205,UTSA,2
RB,"White, Zamir",3,09/18/1999,25,"6' 00""",215,Georgia,3
RB,"Spiller, Isaiah",35,08/09/2001,23,"6' 00""",215,Texas A&M,3
WR,"Foreman, Jeff",,12/26/1999,25,"6' 00""",186,Arkansas State,R
WR,"Keyton, Ramel",82,09/14/2000,24,"6' 02""",191,Tennessee,R
WR,"Marshall Jr., Terrace",80,06/09/2000,24,"6' 03""",200,LSU,4
WR,"Meyers, Jakobi",16,11/09/1996,28,"6' 02""",200,North Carolina State,6
WR,"Tucker, Tre",11,03/08/2001,23,"5' 09""",185,Cincinnati,2
WR,"Turner, DJ",19,01/18/1997,28,"5' 09""",205,Pittsburgh,3
WR,"Bachman, Alex",81,05/29/1996,28,"5' 11""",190,Wake Forest,4
WR,"Jackson, Shedrick",4,10/20/1999,25,"6' 01""",200,Auburn,1
WR,"McAllister, Tyreik",32,04/07/1998,26,"5' 11""",185,Charleston,1
WR,"Philips, Kyle",,06/17/1999,25,"5' 11""",189,UCLA,3
WR,"Wilkerson, Kristian",83,01/10/1997,28,"6' 01""",214,SE Missouri State,3
TE,"Bowers, Brock",89,12/13/2002,22,"6' 03""",230,Georgia,R
TE,"Bryant, Harrison",84,04/23/1998,26,"6' 05""",230,Florida Atlantic,5
TE,"Mayer, Michael",87,07/06/2001,23,"6' 04""",265,Notre Dame,2
TE,"Shorter, Justin",88,04/17/2000,24,"6' 04""",228,Florida,2
CB,"Bennett, Jakorian",0,08/23/2000,24,"5' 11""",195,Maryland,2
LS,"Bobenmoyer, Jacob",50,05/28/1997,27,"6' 02""",235,Northern Colorado,5
LB,"Burney, Amari",56,06/12/2000,24,"6' 01""",228,Florida,2
DT,"Butler, Adam",69,04/12/1994,30,"6' 04""",300,Vanderbilt,7
DT,"Butler, Matthew",91,06/10/1999,25,"6' 04""",290,Tennessee,2
PK,"Carlson, Daniel",2,01/23/1995,30,"6' 05""",215,Auburn,7
DT,"Carter, Zach",93,04/07/1999,25,"6' 04""",290,Florida,3
DE,"Carter II, Andre",99,03/28/2000,24,"6' 06""",256,Army,2
DE,"Chaisson, K'Lavon",44,07/25/1999,25,"6' 03""",245,LSU,5
PT,"Cole, AJ",6,11/27/1995,29,"6' 04""",220,North Carolina State,6
DE,"Crosby, Maxx",98,08/22/1997,27,"6' 05""",255,Eastern Michigan,6
LB,"Deablo, Divine",5,08/17/1998,26,"6' 03""",223,Virginia Tech,4
