Jersey Number,Player,Position,Date_of_Birth,Age,Height,Weight,School,Years_In_NFL
QB,"Allen, Brandon",17,09/05/1992,32,"6' 01""",209,Arkansas,8
QB,"Dobbs, Joshua",5,01/26/1995,30,"6' 03""",220,Tennessee,8
QB,"Purdy, Brock",13,12/27/1999,25,"6' 01""",220,Iowa State,3
QB,"Mordecai, Tanner",4,11/08/1999,25,"6' 02""",218,Wisconsin,R
RB,"Abanikanda, Israel",20,10/05/2002,22,"5' 10""",216,Pittsburgh,2
RB,"Guerendo, Isaac",31,06/28/2000,24,"6' 00""",221,Louisville,R
RB,"Mason, Jordan",24,05/24/1999,25,"5' 11""",223,Georgia Tech,3
RB,"McCaffrey, Christian",23,06/07/1996,28,"5' 11""",210,Stanford,8
RB,"Mitchell, Elijah",25,05/02/1998,26,"5' 10""",200,Louisiana,4
RB,"Taylor Jr., Patrick",32,04/29/1998,26,"6' 01""",217,Memphis,4
WR,"Aiyuk, Brandon",11,03/17/1998,26,"6' 00""",200,Arizona State,5
WR,"Conley, Chris",18,10/25/1992,32,"6' 02""",205,Georgia,10
WR,"Cowing, Jacob",19,02/04/2001,24,"5' 08""",171,Arizona,R
WR,"Jennings, Jauan",15,07/10/1997,27,"6' 03""",212,Tennessee,4
WR,"Pearsall, Ricky",14,09/09/2000,24,"6' 01""",192,Florida,R
WR,"Samuel Sr., Deebo",1,01/15/1996,29,"5' 11""",215,South Carolina,6
WR,"Gage, Russell",84,01/22/1996,29,"6' 00""",184,LSU,7
WR,"Hodgins, Isaiah",87,10/21/1998,26,"6' 04""",200,Oregon State,4
WR,"Owens, Terique",83,09/25/1999,25,"6' 01""",193,Missouri State,R
WR,"Taylor, Trent",81,04/30/1994,30,"5' 08""",178,Louisiana Tech,7
TE,"Kittle, George",85,10/09/1993,31,"6' 04""",250,Iowa,8
TE,"Saubert, Eric",82,05/09/1994,30,"6' 05""",248,Drake,7
TE,"Tonges, Jake",88,07/08/1999,25,"6' 04""",240,California,2
TE,"Willis, Brayden",9,11/11/1999,25,"6' 03""",240,Oklahoma,2
TE,"Pline, Mason",89,02/05/2000,25,"6' 06""",254,Furman,R
DT,"Anderson, Evan",69,02/14/2002,23,"6' 01""",326,Florida Atlantic,R
CB,"Avery, Tre",36,02/26/1997,28,"5' 11""",181,Rutgers,3
OG,"Banks, Aaron",65,09/03/1997,27,"6' 05""",325,Notre Dame,4
DE,"Barrett, Alex",58,03/06/1994,30,"6' 02""",250,San Diego State,2
OG/OC,"Bartch, Ben",78,07/22/1998,26,"6' 06""",315,St. John's (MN),5
DE,"Beal Jr., Robert",51,08/18/1999,25,"6' 04""",250,Georgia,2
LB,"Bethune, Tatum",48,02/19/2001,24,"5' 11""",299,Florida State,R
DE,"Bosa, Nick",97,10/23/1997,27,"6' 04""",266,Ohio State,6
OC,"Brendel, Jake",64,09/10/1992,32,"6' 04""",299,UCLA,8
S,"Brown, Ji'Ayir",27,01/25/2000,25,"5' 11""",202,Penn State,2
OG/OT,"Burford, Spencer",74,07/19/2000,24,"6' 04""",300,UTSA,3
LB,"Campbell Sr., De'Vondre",59,07/01/1993,31,"6' 04""",232,Minnesota,9
DT,"Collins, Maliek",99,04/08/1995,29,"6' 02""",310,Nebraska,9
DT,"Davis, Kalia",93,10/02/1998,26,"6' 01""",310,Central Florida,3
