Jersey Number,Player,Position,Date_of_Birth,Age,Height,Weight,School,Years_In_NFL
QB,"Mayfield, Baker",6,04/14/1995,29,"6' 01""",215,Oklahoma,7
QB,"Trask, Kyle",2,03/06/1998,26,"6' 05""",236,Florida,4
QB,"Pratt, Michael",11,09/30/2001,23,"6' 02""",217,Tulane,R
RB,"Edmonds, Chase",22,04/13/1996,28,"5' 09""",201,Fordham,7
RB,"Irving, Bucky",7,08/19/2002,22,"5' 09""",195,Oregon,R
RB,"Tucker, Sean",44,10/25/2001,23,"5' 09""",205,Syracuse,2
RB,"White, Rachaad",1,01/02/1999,26,"6' 00""",214,Arizona State,3
RB,"Williams, D.J.",30,11/15/2000,24,"5' 10""",225,Arizona,R
WR,"Evans, Mike",13,08/21/1993,31,"6' 05""",231,Texas A&M,11
WR,"Godwin, Chris",14,02/27/1996,29,"6' 01""",209,Penn State,8
WR,"Jarrett, Rakim",18,01/24/2001,24,"6' 00""",192,Maryland,2
WR,"Johnson, Kameron",19,03/17/2002,22,"5' 10""",195,Barton College,R
WR,"McMillan, Jalen",15,12/07/2001,23,"6' 01""",192,Washington,R
WR,"Miller, Ryan",81,02/20/2000,25,"6' 01""",221,Furman,1
WR,"Palmer, Trey",10,04/02/2001,23,"6' 00""",190,Nebraska,2
WR,"Shepard, Sterling",17,02/10/1994,31,"5' 10""",194,Oklahoma,9
WR,"Callaway, Marquez",85,03/27/1998,26,"6' 01""",204,Tennessee,4
WR,"Houston, Dennis",89,04/24/1999,25,"6' 01""",198,Western Illinois,1
WR,"Knue, Tanner",80,11/26/1999,25,"5' 10""",178,Eastern Michigan,R
TE,"Culp, Devin",82,02/02/2000,25,"6' 03""",237,Washington,R
TE,"Durham, Payne",87,06/15/2000,24,"6' 06""",255,Purdue,2
TE,"Kieft, Ko",41,01/20/1998,27,"6' 04""",265,Minnesota,3
TE,"Otton, Cade",88,04/15/1999,25,"6' 05""",247,Washington,3
TE,"Taula, Tanner",84,12/06/1998,26,"6' 06""",255,Illinois State,1
DE,"Banks, Eric",93,01/30/1998,27,"6' 05""",274,UTSA,2
OLB,"Barrett, Shaquil",56,11/17/1992,32,"6' 01""",250,Colorado State,10
OC,"Barton, Graham",62,06/01/2002,22,"6' 05""",314,Duke,R
OLB,"Braswell, Chris",43,10/25/2001,23,"6' 03""",255,Alabama,R
OG,"Bredeson, Ben",68,02/20/1998,27,"6' 05""",315,Michigan,5
DE,"Brewer, C.J.",95,11/22/1997,27,"6' 02""",290,Coastal Carolina,1
