Jersey Number,Player,Position,Date_of_Birth,Age,Height,Weight,School,Years_In_NFL
QB,"Levis, Will",8,07/27/1999,25,"6' 04""",229,Kentucky,2
QB,"Rudolph, Mason",11,07/17/1995,29,"6' 05""",235,Oklahoma State,7
RB,"Chestnut, Julius",36,10/26/2000,24,"5' 11""",228,Sacred Heart,3
RB,"Kelley, Joshua",25,11/20/1997,27,"5' 11""",212,UCLA,5
RB,"Pollard, Tony",20,04/30/1997,27,"6' 00""",209,Memphis,6
RB,"Spears, Tyjae",2,06/15/2001,23,"5' 10""",195,Tulane,2
RB,"Small, Jabari",31,01/31/2002,23,"5' 09""",198,Tennessee,R
WR,"Boyd, Tyler",83,11/15/1994,30,"6' 01""",203,Pittsburgh,9
WR,"Burks, Treylon",16,03/23/2000,24,"6' 02""",225,Arkansas,3
WR,"Dowell, Colton",14,04/19/1999,25,"6' 02""",212,Tennessee-Martin,2
WR,"Jackson, Jha'Quan",19,05/15/2000,24,"5' 09""",188,Tulane,R
WR,"Kinsey, Mason",12,08/29/1998,26,"5' 10""",200,Berry College,2
WR,"Martin, Tay",18,12/14/1997,27,"6' 01""",185,Oklahoma State,1
WR,"Oliver, Bryce",80,05/19/2000,24,"6' 01""",214,Youngstown State,R
WR,"Ridley, Calvin",0,12/20/1994,30,"6' 00""",190,Alabama,6
WR,"Westbrook-Ikhine, Nick",15,03/21/1997,27,"6' 02""",211,Indiana,5
WR,"Morgan Jr., Stanley",82,09/07/1996,28,"6' 00""",205,Nebraska,5
TE,"Martin-Robinson, David",88,12/26/1999,25,"6' 04""",247,Temple,R
TE,"Okonkwo, Chig",85,09/08/1999,25,"6' 02""",238,Maryland,3
TE,"Vannett, Nick",84,03/06/1993,31,"6' 06""",257,Ohio State,9
TE,"Whyle, Josh",81,09/08/1999,25,"6' 06""",248,Cincinnati,2
TE,"Odukoya, Thomas",89,05/05/1997,27,"6' 06""",253,Eastern Michigan,1
CB,"Awuzie, Chidobe",13,05/24/1995,29,"6' 00""",202,Colorado,8
ILB,"Baker, Jerome",17,12/25/1996,28,"6' 01""",232,Ohio State,7
CB,"Baker Jr., Darrell",39,03/27/1998,26,"6' 01""",190,Georgia Southern,2
S,"Brooks, Kendell",30,03/03/2000,24,"6' 00""",206,Michigan State,1
S,"Brown, Mike",44,04/17/1999,25,"6' 01""",218,Miami (Ohio),2
CB,"Brownlee Jr., Jarvis",29,07/13/2001,23,"5' 10""",194,Louisville,R
OG/OC,"Brunskill, Daniel",60,01/27/1994,31,"6' 05""",300,San Diego State,6
OG,"Bruss, Logan",66,10/06/1999,25,"6' 05""",317,Wisconsin,2
ILB,"Campbell, Chance",45,10/08/1999,25,"6' 02""",232,Mississippi,3
DT,"Coburn, Keondre",91,05/23/2000,24,"6' 01""",332,Texas,2
LS,"Cox, Morgan",46,04/26/1986,38,"6' 04""",233,Tennessee,15
OC,"Cushenberry III, Lloyd",79,11/22/1997,27,"6' 03""",315,LSU,5
DT,"Davidson, Marlon",90,05/11/1998,26,"6' 03""",303,Auburn,4
S,"Diggs, Quandre",28,01/22/1993,32,"5' 09""",197,Texas,10
OLB,"Duke, Khalid",47,02/27/2001,24,"6' 03""",246,Kansas State,R
OT,"Duncan, Jaelyn",71,07/08/2000,24,"6' 05""",306,Maryland,2
PK,"Folk, Nick",6,11/05/1984,40,"6' 01""",225,Arizona,17
OC,"Gadlin, X'Zauvea",,09/17/1999,25,"6' 03""",322,Liberty,R
OLB,"Gaye, Ali",99,11/29/1998,26,"6' 06""",265,LSU,1
