Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-10,23:56:00,92 °F,59 °F,33 %,WNW,6 mph,0 mph,28.54 in,0.0 in,Fair
2000-9-10,20:56:00,89 °F,63 °F,42 %,SSE,5 mph,0 mph,28.64 in,0.0 in,Partly Cloudy
2000-9-10,21:56:00,90 °F,62 °F,39 %,CALM,0 mph,0 mph,28.64 in,0.0 in,Partly Cloudy
2000-9-10,22:56:00,87 °F,65 °F,48 %,E,7 mph,0 mph,28.66 in,0.0 in,Fair
2000-9-24,16:56:00,90 °F,0 °F,13 %,VAR,3 mph,0 mph,28.68 in,0.0 in,Fair
2000-9-24,17:56:00,89 °F,0 °F,13 %,W,6 mph,0 mph,28.67 in,0.0 in,Fair
2000-9-24,18:56:00,87 °F,33 °F,15 %,WSW,6 mph,0 mph,28.67 in,0.0 in,Fair
2000-9-24,19:56:00,84 °F,0 °F,15 %,WNW,5 mph,0 mph,28.68 in,0.0 in,Fair
2000-10-8,16:56:00,83 °F,48 °F,29 %,ESE,15 mph,0 mph,28.68 in,0.0 in,Mostly Cloudy
2000-10-8,17:56:00,80 °F,48 °F,32 %,ESE,15 mph,22 mph,28.71 in,0.0 in,Mostly Cloudy
2000-10-8,18:56:00,77 °F,48 °F,36 %,ESE,16 mph,23 mph,28.73 in,0.0 in,Mostly Cloudy
2000-10-8,19:56:00,75 °F,48 °F,38 %,ESE,14 mph,26 mph,28.76 in,0.0 in,Mostly Cloudy
2000-10-15,16:56:00,83 °F,38 °F,20 %,WNW,3 mph,0 mph,28.68 in,0.0 in,Fair
2000-10-15,17:56:00,81 °F,39 °F,22 %,N,3 mph,0 mph,28.68 in,0.0 in,Fair
2000-10-15,18:56:00,78 °F,41 °F,27 %,NW,3 mph,0 mph,28.69 in,0.0 in,Fair
2000-10-15,19:56:00,75 °F,43 °F,32 %,CALM,0 mph,0 mph,28.70 in,0.0 in,Fair
2000-10-29,16:56:00,71 °F,50 °F,47 %,S,7 mph,0 mph,28.75 in,0.0 in,Partly Cloudy
2000-10-29,17:56:00,70 °F,50 °F,49 %,ESE,5 mph,0 mph,28.75 in,0.0 in,Mostly Cloudy
2000-10-29,18:56:00,67 °F,52 °F,59 %,ENE,3 mph,0 mph,28.75 in,0.0 in,Mostly Cloudy
2000-10-29,19:56:00,66 °F,51 °F,59 %,CALM,0 mph,0 mph,28.75 in,0.0 in,Partly Cloudy
2000-11-5,16:56:00,66 °F,46 °F,48 %,W,7 mph,0 mph,28.60 in,0.0 in,Mostly Cloudy
2000-11-5,17:56:00,64 °F,48 °F,56 %,S,6 mph,0 mph,28.59 in,0.0 in,Partly Cloudy
2000-11-5,18:56:00,63 °F,47 °F,56 %,CALM,0 mph,0 mph,28.61 in,0.0 in,Fair
2000-11-5,19:56:00,61 °F,49 °F,64 %,SE,3 mph,0 mph,28.60 in,0.0 in,Fair
2000-11-26,23:56:00,52 °F,36 °F,54 %,ESE,3 mph,0 mph,28.88 in,0.0 in,Fair
2000-11-26,20:56:00,56 °F,36 °F,47 %,CALM,0 mph,0 mph,28.81 in,0.0 in,Fair
2000-11-26,21:56:00,56 °F,31 °F,39 %,CALM,0 mph,0 mph,28.83 in,0.0 in,Fair
2000-11-26,22:56:00,54 °F,34 °F,47 %,CALM,0 mph,0 mph,28.83 in,0.0 in,Fair
2000-12-17,16:56:00,68 °F,24 °F,19 %,SSE,6 mph,0 mph,28.83 in,0.0 in,Partly Cloudy
2000-12-17,17:56:00,64 °F,29 °F,27 %,W,8 mph,0 mph,28.85 in,0.0 in,Partly Cloudy
2000-12-17,18:56:00,62 °F,26 °F,25 %,CALM,0 mph,0 mph,28.88 in,0.0 in,Partly Cloudy
2000-12-17,19:56:00,59 °F,29 °F,32 %,CALM,0 mph,0 mph,28.90 in,0.0 in,Partly Cloudy
2001-9-23,23:56:00,87 °F,41 °F,20 %,CALM,0 mph,0 mph,28.56 in,0.0 in,Fair
2001-9-23,20:56:00,97 °F,40 °F,14 %,ESE,10 mph,0 mph,28.56 in,0.0 in,Fair
2001-9-23,21:56:00,96 °F,41 °F,15 %,S,12 mph,0 mph,28.58 in,0.0 in,Fair
2001-9-23,22:56:00,95 °F,41 °F,15 %,SE,10 mph,0 mph,28.59 in,0.0 in,Fair
2001-9-30,16:56:00,97 °F,42 °F,15 %,ESE,15 mph,25 mph,28.54 in,0.0 in,Cloudy
2001-9-30,17:56:00,96 °F,43 °F,16 %,SE,13 mph,0 mph,28.55 in,0.0 in,Cloudy
2001-9-30,18:56:00,89 °F,44 °F,21 %,S,13 mph,22 mph,28.59 in,0.0 in,Cloudy
2001-9-30,19:56:00,87 °F,44 °F,22 %,S,3 mph,0 mph,28.62 in,0.0 in,Cloudy
2001-10-21,16:56:00,91 °F,40 °F,17 %,NNW,6 mph,0 mph,28.58 in,0.0 in,Cloudy
2001-10-21,17:56:00,89 °F,42 °F,19 %,NNW,6 mph,0 mph,28.58 in,0.0 in,Cloudy
2001-10-21,18:56:00,86 °F,38 °F,18 %,W,6 mph,0 mph,28.60 in,0.0 in,Cloudy
2001-10-21,19:56:00,82 °F,37 °F,20 %,CALM,0 mph,0 mph,28.61 in,0.0 in,Cloudy
