Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-3,13:53:00,78 °F,74 °F,87 %,VAR,3 mph,0 mph,28.76 in,0.3 in,Mostly Cloudy
2000-9-3,14:53:00,82 °F,73 °F,74 %,WSW,6 mph,0 mph,28.74 in,0.0 in,Mostly Cloudy
2000-9-3,15:25:00,77 °F,72 °F,83 %,NNE,8 mph,0 mph,28.79 in,0.0 in,Mostly Cloudy
2000-9-3,15:53:00,73 °F,71 °F,93 %,E,3 mph,0 mph,28.75 in,0.2 in,Cloudy
2000-9-3,16:25:00,73 °F,72 °F,94 %,CALM,0 mph,0 mph,28.78 in,0.0 in,Mostly Cloudy
2000-9-3,16:28:00,73 °F,72 °F,94 %,CALM,0 mph,0 mph,28.78 in,0.0 in,Mostly Cloudy
2000-9-3,16:53:00,73 °F,71 °F,93 %,SSE,3 mph,0 mph,28.75 in,0.0 in,Partly Cloudy
2000-9-24,13:53:00,82 °F,74 °F,76 %,W,6 mph,0 mph,28.79 in,0.0 in,Mostly Cloudy
2000-9-24,14:53:00,84 °F,73 °F,69 %,SW,6 mph,0 mph,28.77 in,0.0 in,Mostly Cloudy
2000-9-24,15:53:00,84 °F,73 °F,69 %,VAR,6 mph,0 mph,28.74 in,0.0 in,Mostly Cloudy
2000-9-24,16:53:00,83 °F,73 °F,72 %,SW,8 mph,0 mph,28.75 in,0.0 in,Mostly Cloudy
2000-10-8,16:53:00,51 °F,26 °F,38 %,NNW,16 mph,24 mph,29.16 in,0.0 in,Partly Cloudy
2000-10-8,17:53:00,49 °F,25 °F,39 %,NNW,16 mph,22 mph,29.18 in,0.0 in,Partly Cloudy
2000-10-8,18:53:00,47 °F,25 °F,42 %,NNW,9 mph,0 mph,29.20 in,0.0 in,Partly Cloudy
2000-10-8,19:53:00,46 °F,26 °F,46 %,NNW,12 mph,0 mph,29.21 in,0.0 in,Fair
2000-10-22,13:53:00,77 °F,56 °F,48 %,CALM,0 mph,0 mph,29.20 in,0.0 in,Partly Cloudy
2000-10-22,14:53:00,78 °F,55 °F,45 %,SE,3 mph,0 mph,29.20 in,0.0 in,Mostly Cloudy
2000-10-22,15:53:00,77 °F,54 °F,45 %,ENE,12 mph,0 mph,29.20 in,0.0 in,Fair
2000-10-22,16:53:00,76 °F,56 °F,50 %,E,8 mph,0 mph,29.21 in,0.0 in,Partly Cloudy
2000-10-29,13:53:00,72 °F,55 °F,55 %,ENE,6 mph,0 mph,29.07 in,0.0 in,Partly Cloudy
2000-10-29,14:53:00,74 °F,54 °F,50 %,ENE,3 mph,0 mph,29.06 in,0.0 in,Mostly Cloudy
2000-10-29,15:53:00,73 °F,55 °F,53 %,CALM,0 mph,0 mph,29.05 in,0.0 in,Mostly Cloudy
2000-10-29,16:53:00,72 °F,55 °F,55 %,SSE,3 mph,0 mph,29.05 in,0.0 in,Partly Cloudy
2000-11-5,13:53:00,63 °F,57 °F,81 %,E,5 mph,0 mph,28.86 in,0.0 in,Cloudy
2000-11-5,14:53:00,64 °F,57 °F,78 %,SE,6 mph,0 mph,28.85 in,0.0 in,Cloudy
2000-11-5,15:53:00,64 °F,58 °F,80 %,E,5 mph,0 mph,28.85 in,0.0 in,Cloudy
2000-11-5,16:11:00,64 °F,57 °F,77 %,E,6 mph,0 mph,28.86 in,0.0 in,Mostly Cloudy
2000-11-5,16:53:00,64 °F,57 °F,78 %,SE,3 mph,0 mph,28.85 in,0.0 in,Mostly Cloudy
2000-12-3,13:53:00,36 °F,29 °F,76 %,NNE,10 mph,0 mph,29.27 in,0.0 in,Cloudy
2000-12-3,14:53:00,37 °F,29 °F,73 %,N,10 mph,0 mph,29.28 in,0.0 in,Cloudy
2000-12-3,15:53:00,38 °F,30 °F,73 %,N,7 mph,0 mph,29.29 in,0.0 in,Cloudy
2000-12-3,16:26:00,39 °F,30 °F,70 %,N,10 mph,0 mph,29.27 in,0.0 in,Cloudy
2000-12-3,16:53:00,38 °F,30 °F,73 %,N,8 mph,0 mph,29.30 in,0.0 in,Cloudy
2000-12-24,13:53:00,46 °F,20 °F,35 %,WNW,10 mph,0 mph,29.24 in,0.0 in,Partly Cloudy
2000-12-24,14:53:00,48 °F,22 °F,36 %,NW,7 mph,0 mph,29.23 in,0.0 in,Fair
2000-12-24,15:53:00,49 °F,27 °F,43 %,NNW,13 mph,0 mph,29.24 in,0.0 in,Fair
2000-12-24,16:53:00,47 °F,25 °F,42 %,NW,10 mph,0 mph,29.24 in,0.0 in,Fair
2001-9-23,13:53:00,87 °F,62 °F,43 %,VAR,6 mph,0 mph,28.88 in,0.0 in,Cloudy
2001-9-23,14:53:00,87 °F,61 °F,41 %,N,6 mph,0 mph,28.85 in,0.0 in,Mostly Cloudy
2001-9-23,15:53:00,83 °F,64 °F,53 %,W,7 mph,0 mph,28.85 in,0.0 in,Cloudy
2001-9-23,16:53:00,73 °F,68 °F,84 %,N,10 mph,0 mph,28.86 in,0.0 in,Cloudy
2001-10-7,13:53:00,66 °F,41 °F,40 %,CALM,0 mph,0 mph,29.12 in,0.0 in,Fair
2001-10-7,14:53:00,68 °F,43 °F,40 %,NNW,6 mph,0 mph,29.12 in,0.0 in,Fair
2001-10-7,15:53:00,68 °F,43 °F,40 %,NNE,8 mph,0 mph,29.12 in,0.0 in,Fair
2001-10-7,16:53:00,67 °F,42 °F,40 %,N,8 mph,0 mph,29.12 in,0.0 in,Fair
2001-10-14,13:53:00,73 °F,56 °F,55 %,WNW,16 mph,0 mph,28.77 in,0.0 in,Mostly Cloudy
2001-10-14,14:53:00,74 °F,54 °F,50 %,W,17 mph,22 mph,28.78 in,0.0 in,Mostly Cloudy
2001-10-14,15:53:00,74 °F,50 °F,43 %,WNW,16 mph,24 mph,28.79 in,0.0 in,Partly Cloudy
