Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-10,13:54:00,84 °F,67 °F,56 %,SE,8 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy
2000-9-10,14:54:00,84 °F,68 °F,58 %,E,8 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy
2000-9-10,15:54:00,83 °F,67 °F,58 %,SE,7 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2000-9-10,16:54:00,82 °F,68 °F,62 %,S,5 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy
2000-9-24,13:54:00,79 °F,69 °F,72 %,W,5 mph,0 mph,29.59 in,0.0 in,Cloudy
2000-9-24,14:54:00,79 °F,68 °F,69 %,NW,7 mph,0 mph,29.60 in,0.0 in,Cloudy
2000-9-24,15:54:00,78 °F,69 °F,74 %,NW,13 mph,0 mph,29.60 in,0.0 in,Cloudy
2000-9-24,16:54:00,74 °F,67 °F,79 %,N,10 mph,20 mph,29.62 in,0.0 in,Cloudy
2000-10-22,13:54:00,68 °F,42 °F,39 %,E,8 mph,0 mph,30.26 in,0.0 in,Fair
2000-10-22,14:54:00,67 °F,42 °F,40 %,VAR,3 mph,0 mph,30.26 in,0.0 in,Fair
2000-10-22,15:54:00,66 °F,41 °F,40 %,E,8 mph,0 mph,30.27 in,0.0 in,Fair
2000-10-22,16:54:00,62 °F,40 °F,44 %,ESE,9 mph,0 mph,30.29 in,0.0 in,Fair
2000-10-29,13:54:00,58 °F,17 °F,20 %,NW,17 mph,28 mph,29.94 in,0.0 in,Fair
2000-10-29,14:54:00,59 °F,18 °F,20 %,WNW,15 mph,0 mph,29.92 in,0.0 in,Fair
2000-10-29,15:54:00,58 °F,18 °F,21 %,WNW,14 mph,22 mph,29.92 in,0.0 in,Fair
2000-10-29,16:54:00,56 °F,19 °F,24 %,WNW,12 mph,0 mph,29.92 in,0.0 in,Fair
2000-11-19,16:54:00,38 °F,21 °F,51 %,CALM,0 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy
2000-11-19,17:54:00,34 °F,22 °F,61 %,CALM,0 mph,0 mph,29.94 in,0.0 in,Partly Cloudy
2000-11-19,18:54:00,31 °F,22 °F,69 %,SSE,3 mph,0 mph,29.94 in,0.0 in,Partly Cloudy
2000-11-19,19:54:00,29 °F,22 °F,75 %,S,3 mph,0 mph,29.94 in,0.0 in,Partly Cloudy
2000-11-26,13:54:00,56 °F,46 °F,69 %,W,13 mph,0 mph,29.52 in,0.0 in,Mostly Cloudy
2000-11-26,14:54:00,56 °F,47 °F,72 %,W,13 mph,0 mph,29.53 in,0.0 in,Partly Cloudy
2000-11-26,15:54:00,55 °F,43 °F,63 %,WNW,10 mph,0 mph,29.55 in,0.0 in,Partly Cloudy
2000-11-26,16:54:00,53 °F,43 °F,69 %,WNW,6 mph,0 mph,29.56 in,0.0 in,Mostly Cloudy
2000-12-10,13:54:00,37 °F,36 °F,93 %,CALM,0 mph,0 mph,30.12 in,0.0 in,Cloudy
2000-12-10,14:01:00,37 °F,36 °F,93 %,CALM,0 mph,0 mph,30.11 in,0.0 in,Cloudy
2000-12-10,14:54:00,35 °F,34 °F,96 %,NW,5 mph,0 mph,30.11 in,0.0 in,Cloudy
2000-12-10,15:54:00,36 °F,34 °F,93 %,CALM,0 mph,0 mph,30.09 in,0.0 in,Cloudy
2000-12-10,16:54:00,35 °F,34 °F,96 %,CALM,0 mph,0 mph,30.08 in,0.0 in,Cloudy
2000-12-24,13:54:00,38 °F,14 °F,38 %,SSW,6 mph,0 mph,30.00 in,0.0 in,Fair
2000-12-24,14:54:00,43 °F,13 °F,30 %,WSW,7 mph,0 mph,29.99 in,0.0 in,Fair
2000-12-24,15:54:00,59 °F,15 °F,18 %,SW,7 mph,0 mph,29.99 in,0.0 in,Fair
2000-12-24,16:54:00,37 °F,14 °F,39 %,CALM,0 mph,0 mph,30.01 in,0.0 in,Fair
2001-9-9,13:54:00,81 °F,64 °F,56 %,SE,12 mph,0 mph,29.99 in,0.0 in,Partly Cloudy
2001-9-9,14:54:00,82 °F,63 °F,52 %,S,12 mph,0 mph,29.97 in,0.0 in,Partly Cloudy
2001-9-9,15:54:00,82 °F,66 °F,58 %,S,10 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2001-9-9,16:54:00,80 °F,67 °F,64 %,S,8 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
2001-10-7,13:54:00,54 °F,27 °F,35 %,NW,13 mph,25 mph,30.01 in,0.0 in,Partly Cloudy
2001-10-7,14:54:00,56 °F,27 °F,33 %,W,15 mph,28 mph,30.01 in,0.0 in,Partly Cloudy
2001-10-7,15:54:00,54 °F,26 °F,34 %,WNW,17 mph,21 mph,30.02 in,0.0 in,Fair
2001-10-7,16:54:00,52 °F,24 °F,34 %,WNW,14 mph,0 mph,30.05 in,0.0 in,Fair
2001-10-28,13:54:00,52 °F,22 °F,31 %,NW,12 mph,0 mph,30.30 in,0.0 in,Partly Cloudy
2001-10-28,14:54:00,51 °F,21 °F,31 %,NW,13 mph,18 mph,30.30 in,0.0 in,Fair
2001-10-28,15:54:00,51 °F,21 °F,31 %,NNW,8 mph,0 mph,30.31 in,0.0 in,Fair
2001-10-28,16:54:00,49 °F,21 °F,33 %,NW,9 mph,18 mph,30.32 in,0.0 in,Fair
2001-11-18,13:54:00,57 °F,45 °F,64 %,SSW,6 mph,0 mph,30.18 in,0.0 in,Fair
2001-11-18,14:54:00,58 °F,43 °F,58 %,SSW,5 mph,0 mph,30.16 in,0.0 in,Fair
2001-11-18,15:54:00,56 °F,44 °F,64 %,E,7 mph,0 mph,30.15 in,0.0 in,Fair
2001-11-18,16:54:00,53 °F,43 °F,69 %,SSE,6 mph,0 mph,30.15 in,0.0 in,Fair
2001-12-2,13:54:00,53 °F,36 °F,52 %,NNW,6 mph,0 mph,30.13 in,0.0 in,Mostly Cloudy
2001-12-2,14:54:00,52 °F,36 °F,54 %,NW,6 mph,0 mph,30.13 in,0.0 in,Mostly Cloudy
2001-12-2,15:54:00,51 °F,36 °F,56 %,NNW,6 mph,0 mph,30.14 in,0.0 in,Mostly Cloudy
