Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-3,22:54:00,67 °F,64 °F,90 %,NE,7 mph,0 mph,29.22 in,0.0 in,Cloudy
2000-9-3,23:03:00,66 °F,64 °F,94 %,NE,8 mph,0 mph,29.23 in,0.0 in,Cloudy
2000-9-3,23:54:00,67 °F,64 °F,90 %,NE,10 mph,0 mph,29.22 in,0.0 in,Cloudy
2000-9-3,20:54:00,71 °F,66 °F,84 %,WSW,7 mph,0 mph,29.09 in,0.0 in,Partly Cloudy
2000-9-3,21:54:00,71 °F,66 °F,84 %,SW,3 mph,0 mph,29.09 in,0.0 in,Mostly Cloudy
2000-9-10,13:54:00,81 °F,67 °F,62 %,WSW,9 mph,0 mph,29.25 in,0.0 in,Cloudy
2000-9-10,14:54:00,82 °F,68 °F,62 %,SSW,9 mph,0 mph,29.24 in,0.0 in,Cloudy
2000-9-10,15:54:00,82 °F,68 °F,62 %,SW,6 mph,0 mph,29.23 in,0.0 in,Cloudy
2000-9-10,16:54:00,80 °F,68 °F,67 %,WSW,6 mph,0 mph,29.22 in,0.0 in,Cloudy
2000-10-1,13:54:00,70 °F,48 °F,46 %,WSW,10 mph,20 mph,29.26 in,0.0 in,Partly Cloudy
2000-10-1,14:54:00,71 °F,46 °F,41 %,WSW,14 mph,0 mph,29.25 in,0.0 in,Partly Cloudy
2000-10-1,15:54:00,71 °F,47 °F,42 %,WSW,10 mph,0 mph,29.24 in,0.0 in,Partly Cloudy
2000-10-1,16:54:00,69 °F,47 °F,45 %,SW,9 mph,0 mph,29.23 in,0.0 in,Fair
2000-10-15,13:54:00,65 °F,56 °F,73 %,S,7 mph,0 mph,29.30 in,0.0 in,Mostly Cloudy
2000-10-15,14:54:00,64 °F,55 °F,72 %,SSW,8 mph,0 mph,29.30 in,0.0 in,Cloudy
2000-10-15,15:54:00,61 °F,56 °F,83 %,NNE,5 mph,0 mph,29.32 in,0.0 in,Cloudy
2000-10-15,16:54:00,59 °F,56 °F,90 %,SE,8 mph,0 mph,29.31 in,0.0 in,Cloudy
2000-10-29,13:54:00,48 °F,26 °F,42 %,NNW,14 mph,0 mph,29.50 in,0.0 in,Fair
2000-10-29,14:54:00,48 °F,25 °F,41 %,NNW,15 mph,0 mph,29.51 in,0.0 in,Fair
2000-10-29,15:54:00,48 °F,22 °F,36 %,N,15 mph,21 mph,29.51 in,0.0 in,Fair
2000-10-29,16:54:00,47 °F,24 °F,41 %,NW,10 mph,0 mph,29.50 in,0.0 in,Fair
2000-11-12,13:54:00,41 °F,35 °F,79 %,E,9 mph,0 mph,29.34 in,0.0 in,Cloudy
2000-11-12,14:54:00,41 °F,35 °F,79 %,ENE,9 mph,0 mph,29.33 in,0.0 in,Cloudy
2000-11-12,15:54:00,40 °F,35 °F,83 %,E,9 mph,0 mph,29.32 in,0.0 in,Cloudy
2000-11-12,16:54:00,40 °F,35 °F,83 %,E,9 mph,0 mph,29.32 in,0.0 in,Cloudy
2000-12-3,13:54:00,29 °F,22 °F,75 %,SSW,10 mph,0 mph,29.79 in,0.0 in,Partly Cloudy
2000-12-3,14:54:00,30 °F,23 °F,75 %,SW,9 mph,0 mph,29.78 in,0.0 in,Fair
2000-12-3,15:54:00,30 °F,22 °F,72 %,WSW,7 mph,0 mph,29.77 in,0.0 in,Fair
2000-12-3,16:54:00,30 °F,19 °F,64 %,SW,7 mph,0 mph,29.76 in,0.0 in,Fair
2000-12-17,13:54:00,34 °F,31 °F,89 %,WSW,30 mph,36 mph,28.62 in,0.0 in,Cloudy / Windy
2000-12-17,14:22:00,34 °F,30 °F,87 %,SW,37 mph,48 mph,28.61 in,0.0 in,Cloudy / Windy
2000-12-17,14:45:00,34 °F,28 °F,81 %,WSW,37 mph,45 mph,28.62 in,0.0 in,Cloudy / Windy
2000-12-17,14:54:00,32 °F,29 °F,88 %,WSW,32 mph,43 mph,28.65 in,0.0 in,Cloudy / Windy
2000-12-17,15:33:00,30 °F,28 °F,93 %,SW,31 mph,46 mph,28.66 in,0.0 in,Cloudy / Windy
2000-12-17,15:54:00,31 °F,28 °F,89 %,WSW,32 mph,45 mph,28.67 in,0.0 in,Cloudy / Windy
2000-12-17,16:08:00,30 °F,28 °F,93 %,WSW,29 mph,38 mph,28.67 in,0.0 in,Cloudy / Windy
2000-12-17,16:54:00,30 °F,28 °F,92 %,WSW,30 mph,46 mph,28.69 in,0.0 in,Cloudy / Windy
