Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-17,13:51:00,69 °F,48 °F,47 %,CALM,0 mph,0 mph,29.36 in,0.0 in,Mostly Cloudy
2000-9-17,14:51:00,70 °F,50 °F,49 %,VAR,3 mph,0 mph,29.33 in,0.0 in,Mostly Cloudy
2000-9-17,15:51:00,69 °F,50 °F,51 %,VAR,5 mph,0 mph,29.32 in,0.0 in,Mostly Cloudy
2000-9-17,16:51:00,68 °F,51 °F,55 %,N,6 mph,0 mph,29.31 in,0.0 in,Cloudy
2000-10-1,13:51:00,74 °F,57 °F,55 %,N,15 mph,18 mph,29.25 in,0.0 in,Partly Cloudy
2000-10-1,14:51:00,73 °F,55 °F,53 %,NE,9 mph,0 mph,29.23 in,0.0 in,Partly Cloudy
2000-10-1,15:51:00,72 °F,54 °F,53 %,N,13 mph,0 mph,29.22 in,0.0 in,Partly Cloudy
2000-10-1,16:51:00,70 °F,53 °F,55 %,NNE,10 mph,0 mph,29.22 in,0.0 in,Partly Cloudy
2000-10-8,16:51:00,52 °F,31 °F,45 %,N,8 mph,0 mph,29.40 in,0.0 in,Mostly Cloudy
2000-10-8,17:51:00,47 °F,35 °F,63 %,CALM,0 mph,0 mph,29.42 in,0.0 in,Mostly Cloudy
2000-10-8,18:51:00,42 °F,35 °F,76 %,NW,5 mph,0 mph,29.44 in,0.0 in,Partly Cloudy
2000-10-8,19:51:00,40 °F,0 °F,73 %,NW,6 mph,0 mph,29.46 in,0.0 in,Fair
2000-10-22,13:51:00,80 °F,56 °F,43 %,N,7 mph,0 mph,29.50 in,0.0 in,Partly Cloudy
2000-10-22,14:51:00,80 °F,55 °F,42 %,VAR,3 mph,0 mph,29.50 in,0.0 in,Partly Cloudy
2000-10-22,15:51:00,79 °F,56 °F,45 %,NNW,6 mph,0 mph,29.51 in,0.0 in,Partly Cloudy
2000-10-22,16:51:00,77 °F,55 °F,46 %,NNE,8 mph,0 mph,29.52 in,0.0 in,Partly Cloudy
2000-11-12,13:51:00,61 °F,38 °F,42 %,CALM,0 mph,0 mph,29.23 in,0.0 in,Mostly Cloudy
2000-11-12,14:51:00,60 °F,38 °F,44 %,S,5 mph,0 mph,29.21 in,0.0 in,Mostly Cloudy
2000-11-12,15:51:00,61 °F,39 °F,44 %,S,7 mph,0 mph,29.22 in,0.0 in,Partly Cloudy
2000-11-12,16:51:00,59 °F,39 °F,48 %,CALM,0 mph,0 mph,29.22 in,0.0 in,Mostly Cloudy
2000-12-3,13:51:00,38 °F,17 °F,43 %,NNE,15 mph,22 mph,29.58 in,0.0 in,Mostly Cloudy
2000-12-3,14:51:00,39 °F,16 °F,39 %,N,10 mph,0 mph,29.58 in,0.0 in,Partly Cloudy
2000-12-3,15:51:00,39 °F,14 °F,36 %,N,13 mph,0 mph,29.58 in,0.0 in,Fair
2000-12-3,16:51:00,36 °F,12 °F,37 %,NNE,9 mph,0 mph,29.60 in,0.0 in,Fair
2000-12-17,13:51:00,42 °F,20 °F,41 %,WNW,17 mph,25 mph,29.04 in,0.0 in,Partly Cloudy
2000-12-17,14:51:00,43 °F,19 °F,38 %,W,9 mph,16 mph,29.08 in,0.0 in,Partly Cloudy
2000-12-17,15:51:00,43 °F,19 °F,38 %,WNW,15 mph,24 mph,29.13 in,0.0 in,Fair
2000-12-17,16:51:00,38 °F,14 °F,38 %,W,10 mph,20 mph,29.18 in,0.0 in,Fair
2001-9-30,13:51:00,67 °F,42 °F,40 %,N,12 mph,0 mph,29.27 in,0.0 in,Partly Cloudy
2001-9-30,14:51:00,69 °F,41 °F,36 %,N,14 mph,20 mph,29.26 in,0.0 in,Partly Cloudy
2001-9-30,15:51:00,68 °F,42 °F,39 %,N,12 mph,18 mph,29.25 in,0.0 in,Partly Cloudy
2001-9-30,16:51:00,66 °F,42 °F,42 %,NE,8 mph,0 mph,29.24 in,0.0 in,Partly Cloudy
2001-10-14,13:08:00,72 °F,72 °F,100 %,VAR,7 mph,0 mph,29.00 in,0.0 in,Cloudy
2001-10-14,13:40:00,73 °F,72 °F,94 %,S,8 mph,0 mph,28.99 in,0.0 in,Cloudy
2001-10-14,13:51:00,73 °F,71 °F,93 %,S,13 mph,0 mph,28.96 in,0.0 in,Cloudy
2001-10-14,14:20:00,73 °F,72 °F,94 %,S,12 mph,0 mph,28.98 in,0.0 in,Mostly Cloudy
2001-10-14,14:51:00,74 °F,64 °F,71 %,VAR,7 mph,16 mph,28.98 in,0.0 in,Mostly Cloudy
2001-10-14,15:51:00,75 °F,62 °F,64 %,VAR,6 mph,0 mph,28.97 in,0.0 in,Partly Cloudy
2001-10-14,16:51:00,73 °F,62 °F,68 %,SSW,7 mph,0 mph,28.98 in,0.0 in,Partly Cloudy
2001-10-28,13:51:00,54 °F,25 °F,33 %,N,10 mph,0 mph,29.68 in,0.0 in,Fair
2001-10-28,14:51:00,54 °F,23 °F,30 %,NNE,13 mph,0 mph,29.67 in,0.0 in,Fair
2001-10-28,15:51:00,54 °F,22 °F,29 %,N,9 mph,0 mph,29.66 in,0.0 in,Fair
2001-10-28,16:51:00,52 °F,24 °F,34 %,N,6 mph,0 mph,29.67 in,0.0 in,Fair
2001-11-18,13:51:00,63 °F,48 °F,58 %,CALM,0 mph,0 mph,29.52 in,0.0 in,Fair
2001-11-18,14:51:00,64 °F,49 °F,58 %,ESE,6 mph,0 mph,29.50 in,0.0 in,Fair
2001-11-18,15:51:00,64 °F,49 °F,58 %,CALM,0 mph,0 mph,29.48 in,0.0 in,Fair
