Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-17,15:53:00,80 °F,50 °F,35 %,NW,10 mph,0 mph,29.29 in,0.0 in,Fair
2000-9-17,16:53:00,78 °F,50 °F,37 %,WNW,9 mph,0 mph,29.29 in,0.0 in,Fair
2000-9-17,17:53:00,74 °F,51 °F,45 %,W,3 mph,0 mph,29.30 in,0.0 in,Fair
2000-9-17,18:53:00,70 °F,52 °F,53 %,W,6 mph,0 mph,29.31 in,0.0 in,Fair
2000-9-24,13:53:00,56 °F,46 °F,69 %,NNE,13 mph,0 mph,29.38 in,0.0 in,Cloudy
2000-9-24,14:53:00,56 °F,46 °F,69 %,NNE,12 mph,0 mph,29.37 in,0.0 in,Cloudy
2000-9-24,15:53:00,55 °F,45 °F,69 %,NNE,15 mph,0 mph,29.38 in,0.0 in,Cloudy
2000-9-24,16:53:00,54 °F,43 °F,66 %,NNE,12 mph,0 mph,29.39 in,0.0 in,Mostly Cloudy
2000-10-8,13:53:00,45 °F,25 °F,46 %,WNW,16 mph,21 mph,29.82 in,0.0 in,Mostly Cloudy
2000-10-8,14:53:00,44 °F,25 °F,47 %,NW,16 mph,21 mph,29.82 in,0.0 in,Mostly Cloudy
2000-10-8,15:53:00,44 °F,25 °F,47 %,WNW,14 mph,0 mph,29.82 in,0.0 in,Partly Cloudy
2000-10-8,16:53:00,43 °F,24 °F,47 %,WNW,14 mph,0 mph,29.82 in,0.0 in,Partly Cloudy
2000-10-15,22:53:00,65 °F,55 °F,70 %,SSW,9 mph,0 mph,29.33 in,0.0 in,Cloudy
2000-10-15,23:53:00,64 °F,55 °F,72 %,SSW,6 mph,0 mph,29.33 in,0.0 in,Cloudy
2000-10-15,20:53:00,54 °F,50 °F,86 %,NNE,7 mph,0 mph,29.46 in,0.0 in,Mostly Cloudy
2000-10-15,21:53:00,54 °F,51 °F,90 %,N,6 mph,0 mph,29.47 in,0.0 in,Cloudy
2000-11-5,13:53:00,61 °F,31 °F,32 %,S,14 mph,20 mph,29.30 in,0.0 in,Fair
2000-11-5,14:53:00,61 °F,30 °F,31 %,SSW,14 mph,0 mph,29.30 in,0.0 in,Fair
2000-11-5,15:53:00,60 °F,30 °F,32 %,S,12 mph,0 mph,29.28 in,0.0 in,Fair
2000-11-5,16:53:00,58 °F,30 °F,35 %,SSE,9 mph,0 mph,29.30 in,0.0 in,Fair
2000-11-19,13:53:00,41 °F,27 °F,57 %,SW,13 mph,0 mph,29.15 in,0.0 in,Mostly Cloudy
2000-11-19,14:53:00,42 °F,28 °F,58 %,WSW,13 mph,18 mph,29.14 in,0.0 in,Mostly Cloudy
2000-11-19,15:53:00,41 °F,28 °F,60 %,WSW,15 mph,23 mph,29.15 in,0.0 in,Cloudy
2000-11-19,16:53:00,39 °F,30 °F,70 %,WSW,12 mph,0 mph,29.15 in,0.0 in,Cloudy
2000-12-3,23:53:00,30 °F,19 °F,64 %,SW,5 mph,0 mph,29.97 in,0.0 in,Mostly Cloudy
2000-12-3,20:53:00,27 °F,20 °F,75 %,S,8 mph,0 mph,29.79 in,0.0 in,Fair
2000-12-3,21:53:00,27 °F,21 °F,78 %,S,8 mph,0 mph,29.79 in,0.0 in,Fair
2000-12-3,22:53:00,26 °F,21 °F,81 %,S,8 mph,0 mph,29.79 in,0.0 in,Fair
2000-12-10,13:17:00,36 °F,30 °F,81 %,NW,8 mph,0 mph,29.41 in,0.0 in,Cloudy
2000-12-10,13:53:00,35 °F,30 °F,82 %,NW,7 mph,0 mph,29.45 in,0.0 in,Cloudy
