Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-10,13:10:00,77 °F,73 °F,89 %,S,5 mph,0 mph,29.55 in,0.0 in,Mostly Cloudy
2000-9-10,13:53:00,79 °F,73 °F,82 %,SSW,8 mph,0 mph,29.52 in,0.0 in,Mostly Cloudy
2000-9-10,14:53:00,79 °F,73 °F,82 %,SSW,7 mph,0 mph,29.51 in,0.0 in,Cloudy
2000-9-10,15:53:00,79 °F,73 °F,82 %,S,7 mph,0 mph,29.50 in,0.0 in,Mostly Cloudy
2000-9-10,16:53:00,79 °F,72 °F,79 %,VAR,6 mph,0 mph,29.49 in,0.0 in,Fair
2000-10-1,16:53:00,75 °F,59 °F,57 %,S,9 mph,0 mph,29.43 in,0.0 in,Fair
2000-10-1,17:53:00,70 °F,60 °F,71 %,S,5 mph,0 mph,29.43 in,0.0 in,Fair
2000-10-1,18:53:00,64 °F,61 °F,90 %,SW,3 mph,0 mph,29.43 in,0.0 in,Fair
2000-10-1,19:53:00,63 °F,61 °F,93 %,CALM,0 mph,0 mph,29.43 in,0.0 in,Fair
2000-10-8,13:53:00,50 °F,34 °F,54 %,W,10 mph,0 mph,29.87 in,0.0 in,Cloudy
2000-10-8,14:53:00,50 °F,0 °F,50 %,VAR,6 mph,0 mph,29.86 in,0.0 in,Cloudy
2000-10-8,15:53:00,50 °F,28 °F,43 %,NW,9 mph,0 mph,29.86 in,0.0 in,Cloudy
2000-10-8,16:53:00,49 °F,29 °F,46 %,NW,8 mph,0 mph,29.86 in,0.0 in,Cloudy
2000-10-22,13:53:00,75 °F,58 °F,55 %,NE,3 mph,0 mph,29.83 in,0.0 in,Fair
2000-10-22,14:53:00,76 °F,59 °F,56 %,VAR,5 mph,0 mph,29.83 in,0.0 in,Fair
2000-10-22,15:53:00,76 °F,59 °F,56 %,VAR,3 mph,0 mph,29.83 in,0.0 in,Fair
2000-10-22,16:53:00,74 °F,60 °F,62 %,CALM,0 mph,0 mph,29.84 in,0.0 in,Fair
2000-11-5,13:53:00,58 °F,31 °F,36 %,ENE,13 mph,0 mph,29.56 in,0.0 in,Fair
2000-11-5,14:53:00,58 °F,29 °F,33 %,E,5 mph,0 mph,29.54 in,0.0 in,Fair
2000-11-5,15:53:00,58 °F,29 °F,33 %,E,7 mph,0 mph,29.54 in,0.0 in,Fair
