Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-3,16:53:00,108 °F,54 °F,17 %,E,7 mph,0 mph,29.13 in,0.0 in,Fair
2000-9-3,17:53:00,106 °F,54 °F,18 %,ESE,7 mph,0 mph,29.13 in,0.0 in,Fair
2000-9-3,18:53:00,99 °F,55 °F,23 %,SE,6 mph,0 mph,29.14 in,0.0 in,Partly Cloudy
2000-9-3,19:53:00,99 °F,55 °F,23 %,SSE,5 mph,0 mph,29.15 in,0.0 in,Partly Cloudy
2000-9-24,13:32:00,63 °F,57 °F,82 %,NW,16 mph,0 mph,29.31 in,0.0 in,Cloudy
2000-9-24,13:53:00,63 °F,58 °F,84 %,NNW,15 mph,0 mph,29.28 in,0.0 in,Cloudy
2000-9-24,14:53:00,63 °F,58 °F,84 %,NNW,16 mph,0 mph,29.29 in,0.0 in,Cloudy
2000-9-24,15:53:00,63 °F,57 °F,81 %,NNW,18 mph,23 mph,29.30 in,0.0 in,Cloudy
2000-9-24,16:00:00,64 °F,57 °F,77 %,NNW,20 mph,23 mph,29.32 in,0.0 in,Cloudy
2000-9-24,16:53:00,64 °F,57 °F,78 %,NNW,15 mph,0 mph,29.33 in,0.0 in,Cloudy
2000-10-22,13:44:00,73 °F,72 °F,94 %,S,10 mph,0 mph,29.43 in,0.0 in,Cloudy
2000-10-22,13:53:00,73 °F,71 °F,93 %,SSE,9 mph,0 mph,29.40 in,0.1 in,Cloudy
2000-10-22,13:58:00,73 °F,72 °F,94 %,SSE,7 mph,0 mph,29.43 in,0.0 in,Mostly Cloudy
2000-10-22,14:53:00,78 °F,71 °F,79 %,SSE,12 mph,0 mph,29.39 in,0.0 in,Mostly Cloudy
2000-10-22,15:20:00,75 °F,70 °F,83 %,S,31 mph,44 mph,29.43 in,0.1 in,Mostly Cloudy / Windy
2000-10-22,15:22:00,72 °F,68 °F,88 %,S,22 mph,44 mph,29.44 in,0.2 in,Mostly Cloudy / Windy
2000-10-22,15:32:00,70 °F,66 °F,88 %,S,10 mph,0 mph,29.43 in,0.0 in,Mostly Cloudy
2000-10-22,15:35:00,70 °F,70 °F,100 %,S,7 mph,0 mph,29.43 in,0.3 in,Mostly Cloudy
2000-10-22,15:41:00,72 °F,70 °F,94 %,S,6 mph,0 mph,29.43 in,0.3 in,Cloudy
2000-10-22,15:53:00,71 °F,69 °F,93 %,SE,23 mph,29 mph,29.43 in,0.5 in,Mostly Cloudy / Windy
2000-10-22,15:56:00,70 °F,70 °F,100 %,ESE,15 mph,29 mph,29.44 in,0.2 in,Mostly Cloudy
2000-10-22,16:04:00,70 °F,68 °F,94 %,ESE,13 mph,0 mph,29.44 in,0.2 in,Cloudy
2000-10-22,16:12:00,72 °F,70 °F,94 %,ESE,9 mph,0 mph,29.44 in,0.2 in,Cloudy
2000-10-22,16:46:00,72 °F,70 °F,94 %,E,7 mph,0 mph,29.43 in,0.2 in,Mostly Cloudy
2000-10-22,16:53:00,71 °F,69 °F,93 %,ESE,7 mph,0 mph,29.41 in,0.2 in,Partly Cloudy
2000-10-29,16:53:00,74 °F,71 °F,91 %,NNE,3 mph,0 mph,29.32 in,0.0 in,Mostly Cloudy
2000-10-29,17:53:00,72 °F,70 °F,93 %,ENE,5 mph,0 mph,29.32 in,0.0 in,Mostly Cloudy
2000-10-29,18:53:00,71 °F,70 °F,96 %,ESE,3 mph,0 mph,29.34 in,0.0 in,Mostly Cloudy
2000-10-29,19:53:00,72 °F,71 °F,97 %,SE,6 mph,0 mph,29.35 in,0.0 in,Cloudy
2000-11-12,13:14:00,43 °F,43 °F,100 %,NNW,15 mph,24 mph,29.33 in,0.1 in,Cloudy
2000-11-12,13:37:00,43 °F,43 °F,100 %,NNW,15 mph,0 mph,29.33 in,0.2 in,Cloudy
2000-11-12,13:53:00,41 °F,41 °F,100 %,N,16 mph,0 mph,29.33 in,0.2 in,Cloudy
2000-11-12,14:35:00,41 °F,39 °F,93 %,NNW,14 mph,0 mph,29.34 in,0.0 in,Cloudy
2000-11-12,14:42:00,41 °F,41 °F,100 %,NNW,13 mph,0 mph,29.34 in,0.1 in,Cloudy
2000-11-12,14:53:00,41 °F,40 °F,96 %,NNW,15 mph,0 mph,29.33 in,0.1 in,Cloudy
2000-11-12,14:55:00,41 °F,41 °F,100 %,NNW,14 mph,0 mph,29.34 in,0.0 in,Cloudy
2000-11-12,15:13:00,39 °F,39 °F,100 %,NNW,18 mph,22 mph,29.34 in,0.0 in,Cloudy
2000-11-12,15:18:00,39 °F,39 °F,100 %,NNW,20 mph,0 mph,29.32 in,0.1 in,Cloudy
2000-11-12,15:29:00,39 °F,39 °F,100 %,NNW,16 mph,0 mph,29.36 in,0.1 in,Cloudy
2000-11-12,15:36:00,39 °F,39 °F,100 %,NNW,15 mph,0 mph,29.36 in,0.1 in,Cloudy
2000-11-12,15:53:00,40 °F,39 °F,97 %,NNW,14 mph,0 mph,29.36 in,0.1 in,Cloudy
2000-11-12,16:40:00,39 °F,39 °F,100 %,NNW,16 mph,0 mph,29.37 in,0.0 in,Cloudy
2000-11-12,16:53:00,40 °F,39 °F,97 %,NNW,17 mph,0 mph,29.37 in,0.1 in,Cloudy
2000-11-23,16:10:00,54 °F,54 °F,100 %,NE,7 mph,0 mph,29.20 in,0.0 in,Cloudy
2000-11-23,16:15:00,54 °F,54 °F,100 %,NE,8 mph,0 mph,29.20 in,0.0 in,Cloudy
2000-11-23,16:27:00,54 °F,54 °F,100 %,NE,9 mph,0 mph,29.20 in,0.0 in,Cloudy
2000-11-23,16:29:00,54 °F,54 °F,100 %,NE,9 mph,0 mph,29.20 in,0.0 in,Cloudy
2000-11-23,16:53:00,54 °F,54 °F,100 %,NE,9 mph,0 mph,29.18 in,0.0 in,Cloudy
2000-11-23,17:53:00,53 °F,53 °F,100 %,NE,10 mph,0 mph,29.17 in,0.0 in,Cloudy
2000-11-23,18:53:00,53 °F,53 °F,100 %,NE,12 mph,0 mph,29.20 in,0.0 in,Cloudy
2000-11-23,19:10:00,54 °F,52 °F,94 %,ENE,13 mph,0 mph,29.20 in,0.0 in,Cloudy
2000-11-23,19:53:00,52 °F,52 °F,100 %,ENE,8 mph,0 mph,29.20 in,0.0 in,Cloudy
2000-12-10,16:53:00,65 °F,59 °F,81 %,SSE,14 mph,0 mph,29.24 in,0.0 in,Mostly Cloudy
2000-12-10,17:53:00,63 °F,58 °F,84 %,S,10 mph,0 mph,29.25 in,0.0 in,Mostly Cloudy
2000-12-10,18:53:00,63 °F,58 °F,84 %,S,12 mph,0 mph,29.25 in,0.0 in,Mostly Cloudy
2000-12-10,19:53:00,62 °F,60 °F,93 %,S,13 mph,0 mph,29.24 in,0.0 in,Cloudy
2000-12-17,23:53:00,26 °F,14 °F,60 %,N,7 mph,0 mph,29.74 in,0.0 in,Fair
2000-12-17,20:53:00,39 °F,22 °F,50 %,SSE,15 mph,0 mph,29.42 in,0.0 in,Fair
2000-12-17,21:53:00,40 °F,22 °F,49 %,S,20 mph,0 mph,29.37 in,0.0 in,Fair
2000-12-17,22:53:00,39 °F,24 °F,55 %,S,17 mph,0 mph,29.35 in,0.0 in,Fair
2001-9-23,13:56:00,87 °F,70 °F,57 %,NNE,13 mph,0 mph,29.31 in,0.0 in,Partly Cloudy
2001-9-23,14:56:00,86 °F,69 °F,57 %,VAR,7 mph,0 mph,29.29 in,0.0 in,Partly Cloudy
2001-9-23,15:56:00,83 °F,69 °F,63 %,NNE,6 mph,0 mph,29.29 in,0.0 in,Mostly Cloudy
2001-9-23,16:56:00,83 °F,69 °F,63 %,N,10 mph,0 mph,29.28 in,0.0 in,Mostly Cloudy
2001-10-15,22:56:00,63 °F,48 °F,58 %,SSE,12 mph,0 mph,29.34 in,0.0 in,Fair
2001-10-15,23:56:00,60 °F,49 °F,67 %,SSE,10 mph,0 mph,29.34 in,0.0 in,Fair
2001-10-15,20:56:00,55 °F,39 °F,55 %,N,22 mph,33 mph,29.71 in,0.0 in,Fair / Windy
2001-10-15,21:56:00,54 °F,39 °F,57 %,N,20 mph,26 mph,29.73 in,0.0 in,Fair
2001-10-28,15:56:00,71 °F,44 °F,38 %,SSE,17 mph,0 mph,29.67 in,0.0 in,Fair
2001-10-28,16:56:00,69 °F,43 °F,39 %,SSE,14 mph,0 mph,29.66 in,0.0 in,Fair
2001-10-28,17:56:00,64 °F,43 °F,46 %,SE,9 mph,0 mph,29.67 in,0.0 in,Fair
2001-10-28,18:56:00,62 °F,43 °F,50 %,SE,10 mph,0 mph,29.69 in,0.0 in,Fair
2001-11-18,13:56:00,73 °F,64 °F,73 %,S,14 mph,0 mph,29.44 in,0.0 in,Cloudy
2001-11-18,14:56:00,72 °F,64 °F,76 %,S,16 mph,24 mph,29.42 in,0.0 in,Cloudy
2001-11-18,15:56:00,73 °F,64 °F,73 %,S,13 mph,0 mph,29.41 in,0.0 in,Cloudy
2001-11-18,16:56:00,72 °F,64 °F,76 %,S,15 mph,0 mph,29.40 in,0.0 in,Mostly Cloudy
2001-11-22,16:56:00,68 °F,58 °F,70 %,S,14 mph,0 mph,29.02 in,0.0 in,Fair
2001-11-22,17:56:00,65 °F,58 °F,78 %,SSE,9 mph,0 mph,29.03 in,0.0 in,Fair
2001-11-22,18:56:00,64 °F,59 °F,84 %,SSE,10 mph,0 mph,29.02 in,0.0 in,Fair
2001-11-22,19:56:00,63 °F,59 °F,87 %,SSE,13 mph,0 mph,29.00 in,0.0 in,Fair
2001-12-9,13:56:00,51 °F,20 °F,29 %,N,12 mph,0 mph,29.55 in,0.0 in,Fair
2001-12-9,14:56:00,51 °F,18 °F,27 %,NNE,12 mph,17 mph,29.53 in,0.0 in,Fair
2001-12-9,15:56:00,51 °F,19 °F,28 %,NNE,7 mph,0 mph,29.52 in,0.0 in,Fair
2001-12-9,16:56:00,49 °F,20 °F,32 %,NNE,7 mph,0 mph,29.52 in,0.0 in,Fair
2001-12-30,13:56:00,38 °F,18 °F,44 %,NE,7 mph,0 mph,29.65 in,0.0 in,Cloudy
2001-12-30,14:56:00,39 °F,19 °F,45 %,NNE,13 mph,0 mph,29.64 in,0.0 in,Cloudy
2001-12-30,15:56:00,38 °F,18 °F,44 %,N,15 mph,0 mph,29.65 in,0.0 in,Cloudy
2001-12-30,16:56:00,36 °F,17 °F,46 %,NNE,16 mph,22 mph,29.66 in,0.0 in,Cloudy
2002-9-15,13:56:00,84 °F,66 °F,55 %,N,12 mph,0 mph,29.40 in,0.0 in,Cloudy
2002-9-15,14:56:00,86 °F,66 °F,51 %,NNE,12 mph,0 mph,29.40 in,0.0 in,Cloudy
2002-9-15,15:56:00,83 °F,65 °F,54 %,N,10 mph,0 mph,29.38 in,0.0 in,Mostly Cloudy
2002-9-15,16:56:00,82 °F,64 °F,54 %,N,10 mph,0 mph,29.38 in,0.0 in,Cloudy
2002-10-6,13:56:00,91 °F,67 °F,45 %,VAR,7 mph,0 mph,29.31 in,0.0 in,Partly Cloudy
2002-10-6,14:56:00,91 °F,65 °F,42 %,VAR,6 mph,0 mph,29.29 in,0.0 in,Partly Cloudy
2002-10-6,15:56:00,90 °F,66 °F,45 %,WSW,7 mph,0 mph,29.30 in,0.0 in,Mostly Cloudy
2002-10-6,16:17:00,84 °F,66 °F,55 %,NW,20 mph,33 mph,29.35 in,0.0 in,Cloudy
2002-10-6,16:56:00,77 °F,65 °F,66 %,N,17 mph,0 mph,29.32 in,0.0 in,Cloudy
2002-10-13,13:56:00,63 °F,43 °F,48 %,NNE,14 mph,21 mph,29.71 in,0.0 in,Mostly Cloudy
