Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-10,16:50:00,88 °F,48 °F,25 %,ESE,10 mph,0 mph,24.29 in,0.0 in,Partly Cloudy
2000-9-10,17:50:00,84 °F,45 °F,25 %,E,9 mph,0 mph,24.30 in,0.0 in,Fair
2000-9-10,18:20:00,84 °F,28 °F,13 %,W,14 mph,0 mph,24.30 in,0.0 in,Fair
2000-9-10,18:50:00,79 °F,27 °F,15 %,WNW,21 mph,0 mph,24.31 in,0.0 in,Fair / Windy
2000-9-10,19:45:00,77 °F,27 °F,16 %,W,14 mph,0 mph,24.33 in,0.0 in,Fair
2000-9-24,16:57:00,43 °F,0 °F,66 %,S,6 mph,0 mph,24.41 in,0.0 in,Partly Cloudy
2000-9-24,17:45:00,41 °F,0 °F,70 %,SW,6 mph,0 mph,24.66 in,0.0 in,Partly Cloudy
2000-9-24,18:45:00,37 °F,0 °F,81 %,SW,5 mph,0 mph,24.65 in,0.0 in,Fair
2000-9-24,19:45:00,36 °F,0 °F,87 %,SW,5 mph,0 mph,24.67 in,0.0 in,Fair
2000-10-1,16:47:00,82 °F,30 °F,15 %,W,14 mph,0 mph,24.23 in,0.0 in,Partly Cloudy
2000-10-1,17:45:00,72 °F,37 °F,29 %,WNW,14 mph,0 mph,24.24 in,0.0 in,Partly Cloudy
2000-10-1,18:45:00,77 °F,25 °F,14 %,W,21 mph,0 mph,24.28 in,0.0 in,Partly Cloudy / Windy
2000-10-1,19:48:00,73 °F,25 °F,16 %,W,20 mph,0 mph,24.29 in,0.0 in,Fair
2000-10-15,16:45:00,55 °F,25 °F,31 %,NNW,12 mph,0 mph,24.44 in,0.0 in,Fair
2000-10-15,17:46:00,54 °F,28 °F,38 %,NNW,14 mph,0 mph,24.45 in,0.0 in,Fair
2000-10-15,18:48:00,46 °F,30 °F,53 %,NNW,10 mph,0 mph,24.46 in,0.0 in,Fair
2000-11-19,16:13:00,39 °F,16 °F,39 %,NNW,12 mph,0 mph,24.46 in,0.0 in,Partly Cloudy
2000-11-19,16:49:00,32 °F,21 °F,64 %,N,8 mph,0 mph,24.46 in,0.0 in,Fair
2000-11-19,17:48:00,30 °F,21 °F,69 %,N,7 mph,0 mph,24.48 in,0.0 in,Fair
2000-11-19,18:51:00,28 °F,19 °F,69 %,NNW,9 mph,0 mph,24.50 in,0.0 in,Fair
2000-11-19,19:55:00,27 °F,19 °F,74 %,N,6 mph,0 mph,24.53 in,0.0 in,Fair
2000-12-10,17:50:00,19 °F,18 °F,93 %,N,5 mph,0 mph,24.15 in,0.0 in,Cloudy
