Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-10,16:45:00,68 °F,66 °F,94 %,SW,12 mph,0 mph,29.29 in,0.0 in,Cloudy
2000-9-10,17:45:00,66 °F,64 °F,94 %,S,9 mph,0 mph,29.27 in,0.0 in,Mostly Cloudy
2000-9-10,18:45:00,66 °F,64 °F,94 %,WSW,5 mph,0 mph,29.28 in,0.0 in,Mostly Cloudy
2000-9-10,19:45:00,66 °F,64 °F,94 %,SW,5 mph,0 mph,29.29 in,0.0 in,Mostly Cloudy
2000-9-17,13:45:00,75 °F,41 °F,29 %,W,17 mph,28 mph,29.24 in,0.0 in,Fair
2000-9-17,14:45:00,75 °F,43 °F,31 %,W,23 mph,0 mph,29.24 in,0.0 in,Partly Cloudy / Windy
2000-9-17,15:45:00,77 °F,52 °F,41 %,W,18 mph,0 mph,29.24 in,0.0 in,Partly Cloudy
2000-10-1,13:45:00,75 °F,54 °F,47 %,SSW,15 mph,0 mph,29.27 in,0.0 in,Fair
2000-10-1,14:45:00,73 °F,54 °F,50 %,SSW,16 mph,0 mph,29.24 in,0.0 in,Fair
2000-10-1,15:45:00,75 °F,52 °F,44 %,SSW,16 mph,0 mph,29.22 in,0.0 in,Fair
2000-10-1,16:50:00,75 °F,52 °F,44 %,S,16 mph,0 mph,29.22 in,0.0 in,Fair
2000-10-8,13:45:00,43 °F,0 °F,66 %,NNW,14 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2000-10-8,14:45:00,39 °F,36 °F,87 %,N,12 mph,18 mph,29.65 in,0.0 in,Cloudy
2000-10-8,15:45:00,37 °F,36 °F,93 %,N,9 mph,18 mph,29.66 in,0.0 in,Cloudy
2000-10-8,16:45:00,39 °F,36 °F,87 %,N,7 mph,0 mph,29.65 in,0.0 in,Mostly Cloudy
2000-11-5,13:53:00,53 °F,34 °F,48 %,SW,6 mph,0 mph,29.42 in,0.0 in,Partly Cloudy
2000-11-5,14:53:00,54 °F,33 °F,45 %,VAR,3 mph,0 mph,29.41 in,0.0 in,Fair
2000-11-5,15:53:00,53 °F,34 °F,48 %,SW,6 mph,0 mph,29.41 in,0.0 in,Fair
2000-11-5,16:53:00,51 °F,35 °F,54 %,S,7 mph,0 mph,29.41 in,0.0 in,N/A
2000-11-12,13:02:00,43 °F,37 °F,81 %,E,10 mph,0 mph,29.41 in,0.0 in,Cloudy
2000-11-12,13:29:00,43 °F,37 °F,81 %,E,10 mph,0 mph,29.40 in,0.0 in,Cloudy
2000-11-12,13:53:00,44 °F,38 °F,79 %,E,9 mph,0 mph,29.40 in,0.0 in,Cloudy
2000-11-12,14:44:00,45 °F,37 °F,76 %,E,7 mph,0 mph,29.38 in,0.0 in,Cloudy
2000-11-12,14:53:00,43 °F,38 °F,82 %,E,10 mph,0 mph,29.39 in,0.0 in,Cloudy
2000-11-12,15:53:00,43 °F,38 °F,82 %,ESE,9 mph,0 mph,29.38 in,0.0 in,Cloudy
2000-11-12,16:53:00,42 °F,37 °F,82 %,E,12 mph,0 mph,29.39 in,0.0 in,Cloudy
2000-12-24,13:46:00,21 °F,12 °F,68 %,WNW,10 mph,0 mph,29.55 in,0.0 in,Cloudy
2000-12-24,13:53:00,21 °F,12 °F,68 %,WNW,14 mph,0 mph,29.58 in,0.0 in,Cloudy
2000-12-24,14:03:00,21 °F,12 °F,68 %,WNW,10 mph,0 mph,29.55 in,0.0 in,Cloudy
2000-12-24,14:14:00,21 °F,12 °F,68 %,WNW,12 mph,0 mph,29.55 in,0.0 in,Cloudy
2000-12-24,14:53:00,21 °F,12 °F,68 %,WNW,14 mph,21 mph,29.61 in,0.0 in,Cloudy
