Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-3,16:56:00,69 °F,64 °F,84 %,NE,15 mph,0 mph,29.20 in,0.0 in,Cloudy
2000-9-3,17:25:00,68 °F,63 °F,83 %,ENE,14 mph,0 mph,29.22 in,0.0 in,Cloudy
2000-9-3,17:56:00,68 °F,63 °F,84 %,NE,13 mph,0 mph,29.23 in,0.0 in,Cloudy
2000-9-3,18:07:00,68 °F,63 °F,83 %,NNE,12 mph,0 mph,29.23 in,0.0 in,Cloudy
2000-9-3,18:42:00,66 °F,61 °F,83 %,NE,21 mph,28 mph,29.25 in,0.0 in,Cloudy / Windy
2000-9-3,18:56:00,66 °F,60 °F,81 %,NE,15 mph,24 mph,29.26 in,0.0 in,Cloudy
2000-9-3,19:46:00,64 °F,57 °F,77 %,NNE,13 mph,23 mph,29.30 in,0.0 in,Cloudy
2000-9-3,19:56:00,63 °F,57 °F,81 %,NE,16 mph,0 mph,29.30 in,0.0 in,Cloudy
2000-9-17,13:56:00,73 °F,43 °F,34 %,NW,9 mph,0 mph,29.22 in,0.0 in,Fair
2000-9-17,14:56:00,73 °F,45 °F,37 %,NW,10 mph,0 mph,29.22 in,0.0 in,Fair
2000-9-17,15:56:00,70 °F,46 °F,42 %,WNW,8 mph,0 mph,29.22 in,0.0 in,Fair
2000-9-17,16:56:00,68 °F,49 °F,50 %,W,6 mph,0 mph,29.23 in,0.0 in,Fair
2000-10-1,16:56:00,69 °F,56 °F,63 %,SSW,7 mph,0 mph,28.86 in,0.0 in,Fair
2000-10-1,17:56:00,66 °F,56 °F,70 %,SSW,5 mph,0 mph,28.87 in,0.0 in,Fair
2000-10-1,18:56:00,64 °F,56 °F,75 %,S,6 mph,0 mph,28.87 in,0.0 in,Fair
2000-10-1,19:56:00,65 °F,56 °F,73 %,W,6 mph,0 mph,28.88 in,0.0 in,Fair
