Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2002-9-8,22:53:00,79 °F,76 °F,90 %,ESE,8 mph,0 mph,29.83 in,0.0 in,Mostly Cloudy
2002-9-8,23:53:00,79 °F,76 °F,90 %,ESE,8 mph,0 mph,29.82 in,0.0 in,Mostly Cloudy
2002-9-8,20:53:00,78 °F,75 °F,90 %,E,12 mph,0 mph,29.88 in,0.0 in,Mostly Cloudy
2002-9-8,21:45:00,79 °F,75 °F,89 %,E,12 mph,0 mph,29.87 in,0.0 in,Cloudy
2002-9-8,21:53:00,78 °F,75 °F,90 %,E,10 mph,0 mph,29.88 in,0.0 in,Cloudy
2002-9-22,13:53:00,83 °F,70 °F,65 %,NNE,20 mph,28 mph,29.85 in,0.0 in,Mostly Cloudy
2002-9-22,14:53:00,86 °F,71 °F,61 %,N,24 mph,0 mph,29.83 in,0.0 in,Mostly Cloudy / Windy
2002-9-22,15:53:00,84 °F,69 °F,61 %,NNE,23 mph,28 mph,29.85 in,0.0 in,Mostly Cloudy / Windy
2002-9-22,16:53:00,84 °F,69 °F,61 %,NE,16 mph,0 mph,29.85 in,0.0 in,Mostly Cloudy
2002-10-13,13:53:00,73 °F,64 °F,73 %,N,15 mph,0 mph,30.16 in,0.0 in,Cloudy
2002-10-13,14:37:00,73 °F,64 °F,73 %,NNE,17 mph,23 mph,30.14 in,0.0 in,Cloudy
2002-10-13,14:53:00,74 °F,65 °F,73 %,N,14 mph,0 mph,30.14 in,0.0 in,Cloudy
2002-10-13,15:53:00,71 °F,63 °F,75 %,NNW,14 mph,0 mph,30.16 in,0.0 in,Cloudy
2002-10-13,16:53:00,70 °F,62 °F,76 %,N,14 mph,0 mph,30.17 in,0.0 in,Cloudy
2002-11-3,13:07:00,64 °F,63 °F,94 %,N,10 mph,0 mph,29.92 in,0.0 in,Cloudy
2002-11-3,13:34:00,66 °F,63 °F,88 %,N,8 mph,0 mph,29.91 in,0.0 in,Mostly Cloudy
2002-11-3,13:53:00,65 °F,63 °F,93 %,N,9 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy
2002-11-3,14:00:00,64 °F,63 °F,94 %,N,10 mph,0 mph,29.90 in,0.0 in,Cloudy
2002-11-3,14:53:00,66 °F,64 °F,93 %,N,8 mph,0 mph,29.91 in,0.0 in,Cloudy
2002-11-3,15:53:00,64 °F,62 °F,93 %,N,10 mph,0 mph,29.93 in,0.0 in,Cloudy
2002-11-3,16:53:00,62 °F,61 °F,96 %,N,10 mph,0 mph,29.93 in,0.0 in,Cloudy
2002-11-17,13:53:00,67 °F,38 °F,34 %,SSW,9 mph,0 mph,30.15 in,0.0 in,Fair
2002-11-17,14:53:00,68 °F,38 °F,33 %,SSW,12 mph,0 mph,30.12 in,0.0 in,Fair
2002-11-17,15:53:00,68 °F,39 °F,35 %,SSW,9 mph,0 mph,30.11 in,0.0 in,Fair
2002-11-17,16:53:00,66 °F,39 °F,37 %,S,7 mph,0 mph,30.10 in,0.0 in,Fair
2002-11-24,16:53:00,70 °F,59 °F,68 %,SSE,7 mph,0 mph,29.97 in,0.0 in,Mostly Cloudy
2002-11-24,17:53:00,67 °F,58 °F,73 %,SE,6 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy
2002-11-24,18:53:00,65 °F,58 °F,78 %,ESE,7 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2002-11-24,19:53:00,63 °F,60 °F,90 %,ESE,5 mph,0 mph,30.00 in,0.0 in,Partly Cloudy
2002-12-15,13:53:00,69 °F,56 °F,63 %,SSE,14 mph,0 mph,30.02 in,0.0 in,Mostly Cloudy
2002-12-15,14:53:00,70 °F,57 °F,63 %,S,14 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy
2002-12-15,15:53:00,68 °F,57 °F,68 %,S,14 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy
2002-12-15,16:53:00,67 °F,57 °F,70 %,SSE,10 mph,0 mph,30.01 in,0.0 in,Mostly Cloudy
2002-12-29,13:21:00,73 °F,64 °F,73 %,S,14 mph,24 mph,30.00 in,0.0 in,Cloudy
2002-12-29,13:53:00,73 °F,64 °F,73 %,S,14 mph,24 mph,29.99 in,0.0 in,Cloudy
2002-12-29,14:53:00,73 °F,63 °F,71 %,S,20 mph,29 mph,29.99 in,0.0 in,Mostly Cloudy
2002-12-29,15:53:00,72 °F,64 °F,76 %,S,16 mph,23 mph,29.98 in,0.0 in,Mostly Cloudy
2002-12-29,16:36:00,72 °F,64 °F,78 %,S,16 mph,25 mph,29.96 in,0.0 in,Mostly Cloudy
2002-12-29,16:53:00,70 °F,66 °F,87 %,S,13 mph,21 mph,29.97 in,0.0 in,Mostly Cloudy
2003-9-21,13:53:00,75 °F,72 °F,90 %,NNW,8 mph,0 mph,29.80 in,0.0 in,Cloudy
2003-9-21,14:53:00,74 °F,72 °F,93 %,N,9 mph,0 mph,29.80 in,0.0 in,Cloudy
2003-9-21,15:53:00,73 °F,71 °F,93 %,N,8 mph,0 mph,29.82 in,0.0 in,Cloudy
2003-9-21,16:53:00,73 °F,71 °F,93 %,NW,6 mph,0 mph,29.82 in,0.0 in,Cloudy
2003-9-28,13:53:00,85 °F,54 °F,34 %,NNE,9 mph,0 mph,29.99 in,0.0 in,Fair
2003-9-28,14:53:00,85 °F,52 °F,32 %,NE,15 mph,0 mph,30.00 in,0.0 in,Fair
2003-9-28,15:53:00,84 °F,52 °F,33 %,NNE,15 mph,0 mph,30.00 in,0.0 in,Fair
2003-9-28,16:53:00,83 °F,52 °F,34 %,NE,12 mph,0 mph,30.00 in,0.0 in,Fair
