Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-10,13:02:00,72 °F,70 °F,94 %,SSW,10 mph,0 mph,29.17 in,0.0 in,Cloudy
2000-9-10,13:55:00,71 °F,70 °F,96 %,SW,7 mph,0 mph,29.17 in,0.1 in,Cloudy
2000-9-10,14:48:00,75 °F,70 °F,83 %,S,7 mph,0 mph,29.16 in,0.0 in,Mostly Cloudy
2000-9-10,14:55:00,74 °F,70 °F,87 %,S,6 mph,0 mph,29.14 in,0.0 in,Mostly Cloudy
2000-9-10,15:55:00,75 °F,69 °F,82 %,S,12 mph,0 mph,29.12 in,0.0 in,Mostly Cloudy
2000-9-10,16:36:00,73 °F,70 °F,88 %,S,8 mph,0 mph,29.14 in,0.0 in,Cloudy
2000-9-10,16:44:00,73 °F,70 °F,88 %,S,8 mph,0 mph,29.14 in,0.0 in,Cloudy
2000-9-10,16:55:00,73 °F,70 °F,90 %,SSW,7 mph,0 mph,29.13 in,0.0 in,Cloudy
2000-10-22,13:55:00,71 °F,60 °F,68 %,ESE,8 mph,0 mph,29.50 in,0.0 in,Mostly Cloudy
2000-10-22,14:55:00,71 °F,60 °F,68 %,ESE,6 mph,0 mph,29.49 in,0.0 in,Mostly Cloudy
2000-10-22,15:55:00,72 °F,59 °F,64 %,CALM,0 mph,0 mph,29.49 in,0.0 in,Mostly Cloudy
2000-10-22,16:55:00,72 °F,58 °F,61 %,CALM,0 mph,0 mph,29.49 in,0.0 in,Cloudy
2000-10-29,14:55:00,61 °F,30 °F,31 %,E,10 mph,0 mph,29.44 in,0.0 in,Mostly Cloudy
2000-10-29,15:55:00,61 °F,29 °F,30 %,E,10 mph,0 mph,29.43 in,0.0 in,Mostly Cloudy
2000-10-29,16:55:00,58 °F,29 °F,33 %,E,10 mph,0 mph,29.43 in,0.0 in,Cloudy
2000-10-29,17:55:00,55 °F,31 °F,40 %,E,9 mph,0 mph,29.44 in,0.0 in,Cloudy
