Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-17,13:22:00,72 °F,72 °F,100 %,NE,7 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2000-9-17,13:56:00,71 °F,71 °F,100 %,NE,10 mph,0 mph,29.90 in,0.1 in,Cloudy
2000-9-17,14:32:00,72 °F,72 °F,100 %,NE,6 mph,0 mph,29.90 in,0.0 in,Cloudy
2000-9-17,14:56:00,72 °F,72 °F,100 %,NE,7 mph,0 mph,29.90 in,0.0 in,Cloudy
2000-9-17,15:03:00,72 °F,72 °F,100 %,NE,12 mph,0 mph,29.89 in,0.0 in,Cloudy
2000-9-17,15:14:00,72 °F,72 °F,100 %,NE,10 mph,0 mph,29.89 in,0.0 in,Cloudy
2000-9-17,15:27:00,72 °F,72 °F,100 %,ENE,10 mph,0 mph,29.89 in,0.0 in,Cloudy
2000-9-17,15:29:00,72 °F,72 °F,100 %,ENE,9 mph,0 mph,29.89 in,0.0 in,Cloudy
2000-9-17,15:34:00,72 °F,72 °F,100 %,NE,7 mph,0 mph,29.89 in,0.1 in,Cloudy
2000-9-17,15:47:00,72 °F,72 °F,100 %,E,8 mph,0 mph,29.88 in,0.2 in,Cloudy
2000-9-17,15:56:00,72 °F,72 °F,100 %,ENE,10 mph,0 mph,29.89 in,0.0 in,Cloudy
2000-9-17,16:06:00,72 °F,72 °F,100 %,ENE,13 mph,0 mph,29.88 in,0.0 in,Cloudy
2000-9-17,16:23:00,72 °F,72 °F,100 %,E,10 mph,0 mph,29.90 in,0.0 in,Cloudy
2000-9-17,16:56:00,71 °F,71 °F,100 %,E,12 mph,0 mph,29.89 in,0.1 in,Cloudy
2000-10-1,13:56:00,78 °F,64 °F,62 %,NE,18 mph,26 mph,29.91 in,0.0 in,Fair
2000-10-1,14:56:00,78 °F,63 °F,60 %,NE,15 mph,23 mph,29.89 in,0.0 in,Fair
2000-10-1,15:56:00,78 °F,62 °F,58 %,NE,14 mph,22 mph,29.89 in,0.0 in,Fair
2000-10-1,16:56:00,77 °F,62 °F,60 %,NE,12 mph,0 mph,29.89 in,0.0 in,Fair
2000-10-8,22:56:00,72 °F,68 °F,87 %,NNE,7 mph,0 mph,30.04 in,0.0 in,Cloudy
2000-10-8,23:56:00,71 °F,68 °F,90 %,NNE,6 mph,0 mph,30.03 in,0.0 in,Mostly Cloudy
2000-10-8,20:56:00,58 °F,47 °F,67 %,NNE,12 mph,0 mph,30.14 in,0.0 in,Cloudy
2000-10-8,21:56:00,57 °F,43 °F,59 %,NNE,13 mph,0 mph,30.16 in,0.0 in,Cloudy
2000-10-22,16:56:00,74 °F,60 °F,62 %,NE,12 mph,0 mph,30.24 in,0.0 in,Fair
2000-10-22,17:56:00,70 °F,62 °F,76 %,NE,6 mph,0 mph,30.24 in,0.0 in,Fair
2000-10-22,18:56:00,67 °F,62 °F,84 %,NNE,3 mph,0 mph,30.26 in,0.0 in,Fair
