Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-3,13:53:00,91 °F,68 °F,47 %,SSW,8 mph,0 mph,28.75 in,0.0 in,Mostly Cloudy
2000-9-3,14:53:00,96 °F,68 °F,40 %,SW,9 mph,0 mph,28.73 in,0.0 in,Mostly Cloudy
2000-9-3,15:53:00,96 °F,68 °F,40 %,SW,5 mph,0 mph,28.72 in,0.0 in,Partly Cloudy
2000-9-3,16:53:00,97 °F,68 °F,39 %,CALM,0 mph,0 mph,28.72 in,0.0 in,Partly Cloudy
2000-9-17,16:53:00,88 °F,50 °F,27 %,SSE,8 mph,0 mph,28.88 in,0.0 in,Fair
2000-9-17,17:53:00,82 °F,51 °F,34 %,SSE,6 mph,0 mph,28.88 in,0.0 in,Fair
2000-9-17,18:53:00,76 °F,51 °F,42 %,SSE,7 mph,0 mph,28.89 in,0.0 in,Fair
2000-9-17,19:53:00,73 °F,51 °F,46 %,SSE,8 mph,0 mph,28.90 in,0.0 in,Fair
2000-10-15,13:41:00,63 °F,57 °F,82 %,VAR,6 mph,0 mph,29.03 in,0.0 in,Cloudy
2000-10-15,13:53:00,62 °F,58 °F,86 %,CALM,0 mph,0 mph,29.01 in,0.0 in,Cloudy
2000-10-15,14:53:00,64 °F,58 °F,80 %,VAR,3 mph,0 mph,29.01 in,0.0 in,Cloudy
2000-10-15,15:34:00,64 °F,57 °F,77 %,NE,7 mph,0 mph,29.02 in,0.0 in,Cloudy
2000-10-15,15:53:00,64 °F,58 °F,80 %,ENE,5 mph,0 mph,29.00 in,0.0 in,Cloudy
2000-10-15,16:53:00,63 °F,58 °F,84 %,SE,5 mph,0 mph,29.00 in,0.0 in,Mostly Cloudy
2000-10-22,13:24:00,66 °F,61 °F,83 %,SE,12 mph,0 mph,29.10 in,0.0 in,Cloudy
2000-10-22,13:53:00,66 °F,60 °F,81 %,SSE,14 mph,0 mph,29.08 in,0.0 in,Cloudy
2000-10-22,14:22:00,64 °F,61 °F,88 %,SSE,10 mph,0 mph,29.11 in,0.0 in,Cloudy
