Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2020-9-21,23:56:00,83 °F,38 °F,20 %,WSW,8 mph,0 mph,27.62 in,0.0 in,Fair
2020-9-21,20:56:00,87 °F,46 °F,24 %,S,7 mph,0 mph,27.63 in,0.0 in,Partly Cloudy
2020-9-21,21:56:00,86 °F,40 °F,20 %,S,6 mph,0 mph,27.64 in,0.0 in,Partly Cloudy
2020-9-21,22:56:00,84 °F,40 °F,21 %,SSW,5 mph,0 mph,27.64 in,0.0 in,Partly Cloudy
2020-10-4,16:56:00,94 °F,16 °F,6 %,E,8 mph,0 mph,27.66 in,0.0 in,Fair
2020-10-4,17:56:00,91 °F,19 °F,7 %,VAR,3 mph,0 mph,27.67 in,0.0 in,Fair
2020-10-4,18:56:00,88 °F,20 °F,8 %,W,6 mph,0 mph,27.69 in,0.0 in,Fair
2020-10-4,19:56:00,83 °F,22 °F,11 %,WSW,5 mph,0 mph,27.70 in,0.0 in,Fair
2020-10-25,16:56:00,70 °F,15 °F,12 %,NNW,25 mph,38 mph,27.41 in,0.0 in,Partly Cloudy / Windy
2020-10-25,17:56:00,68 °F,17 °F,14 %,NNW,26 mph,41 mph,27.46 in,0.0 in,Mostly Cloudy / Windy
2020-10-25,18:56:00,65 °F,9 °F,11 %,N,17 mph,37 mph,27.53 in,0.0 in,Mostly Cloudy
2020-10-25,19:56:00,62 °F,-1 °F,8 %,N,26 mph,43 mph,27.59 in,0.0 in,Mostly Cloudy / Windy
2020-11-15,16:56:00,64 °F,16 °F,16 %,N,3 mph,0 mph,27.89 in,0.0 in,Fair
2020-11-15,17:56:00,63 °F,18 °F,18 %,WSW,3 mph,0 mph,27.91 in,0.0 in,Fair
2020-11-15,18:56:00,59 °F,21 °F,23 %,WSW,3 mph,0 mph,27.92 in,0.0 in,Fair
2020-11-15,19:56:00,56 °F,19 °F,24 %,SSW,5 mph,0 mph,27.93 in,0.0 in,Fair
2020-11-22,20:56:00,54 °F,20 °F,26 %,SW,5 mph,0 mph,27.61 in,0.0 in,Fair
2020-11-22,21:56:00,52 °F,21 °F,30 %,SSW,3 mph,0 mph,27.61 in,0.0 in,Fair
2020-11-22,22:56:00,51 °F,20 °F,29 %,SSW,5 mph,0 mph,27.59 in,0.0 in,Partly Cloudy
2020-11-22,23:56:00,49 °F,20 °F,32 %,SSW,3 mph,0 mph,27.57 in,0.0 in,Partly Cloudy
2020-12-13,16:56:00,46 °F,6 °F,20 %,E,5 mph,0 mph,27.90 in,0.0 in,Mostly Cloudy
2020-12-13,17:56:00,45 °F,8 °F,22 %,E,5 mph,0 mph,27.90 in,0.0 in,Mostly Cloudy
2020-12-13,18:56:00,45 °F,9 °F,23 %,ESE,3 mph,0 mph,27.88 in,0.0 in,Mostly Cloudy
2020-12-13,19:56:00,44 °F,9 °F,24 %,E,5 mph,0 mph,27.87 in,0.0 in,Mostly Cloudy
2020-12-17,20:56:00,46 °F,39 °F,76 %,W,6 mph,0 mph,27.64 in,0.0 in,Fair
2020-12-17,21:56:00,46 °F,37 °F,71 %,WNW,8 mph,0 mph,27.66 in,0.0 in,Fair
2020-12-17,22:56:00,47 °F,35 °F,63 %,CALM,0 mph,0 mph,27.69 in,0.0 in,Fair
2020-12-17,23:56:00,45 °F,34 °F,65 %,SSW,3 mph,0 mph,27.71 in,0.0 in,Fair
2020-12-26,20:56:00,46 °F,9 °F,22 %,SSW,5 mph,0 mph,27.77 in,0.0 in,Mostly Cloudy
2020-12-26,21:56:00,46 °F,9 °F,22 %,SW,5 mph,0 mph,27.78 in,0.0 in,Mostly Cloudy
2020-12-26,22:56:00,45 °F,11 °F,25 %,SSW,5 mph,0 mph,27.77 in,0.0 in,Mostly Cloudy
2020-12-26,23:56:00,43 °F,12 °F,28 %,CALM,0 mph,0 mph,27.79 in,0.0 in,Mostly Cloudy
2021-9-13,23:56:00,87 °F,37 °F,17 %,S,6 mph,0 mph,27.60 in,0.0 in,Fair
2021-9-13,20:56:00,92 °F,31 °F,11 %,WSW,8 mph,0 mph,27.55 in,0.0 in,Fair
2021-9-13,21:56:00,91 °F,31 °F,12 %,WSW,9 mph,0 mph,27.55 in,0.0 in,Fair
2021-9-13,22:56:00,89 °F,27 °F,11 %,SSW,8 mph,0 mph,27.56 in,0.0 in,Fair
2021-9-26,16:56:00,92 °F,48 °F,22 %,E,8 mph,0 mph,27.58 in,0.0 in,Fair
2021-9-26,17:56:00,91 °F,45 °F,20 %,S,5 mph,0 mph,27.58 in,0.0 in,Fair
2021-9-26,18:56:00,90 °F,45 °F,21 %,W,9 mph,0 mph,27.60 in,0.0 in,Fair
