Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2016-9-18,16:53:00,72 °F,64 °F,76 %,W,7 mph,0 mph,29.80 in,0.0 in,Fair
2016-9-18,17:53:00,69 °F,64 °F,84 %,W,7 mph,0 mph,29.82 in,0.0 in,Fair
2016-9-18,18:53:00,67 °F,63 °F,87 %,SW,3 mph,0 mph,29.84 in,0.0 in,Fair
2016-9-18,19:53:00,67 °F,63 °F,87 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Fair
2016-10-9,16:53:00,74 °F,50 °F,43 %,W,9 mph,0 mph,29.84 in,0.0 in,Cloudy
2016-10-9,17:53:00,72 °F,55 °F,55 %,WSW,7 mph,0 mph,29.85 in,0.0 in,Fair
2016-10-9,18:53:00,71 °F,57 °F,61 %,SW,6 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy
2016-10-9,19:53:00,70 °F,58 °F,65 %,WSW,7 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2016-11-6,16:53:00,64 °F,59 °F,84 %,WSW,8 mph,0 mph,29.97 in,0.0 in,Mostly Cloudy
2016-11-6,17:53:00,63 °F,60 °F,90 %,W,6 mph,0 mph,29.99 in,0.0 in,Partly Cloudy
2016-11-6,18:53:00,62 °F,60 °F,93 %,CALM,0 mph,0 mph,29.99 in,0.0 in,Partly Cloudy
2016-11-6,19:53:00,62 °F,60 °F,93 %,CALM,0 mph,0 mph,29.99 in,0.0 in,Fair
2016-11-20,16:06:00,59 °F,57 °F,93 %,E,6 mph,0 mph,29.87 in,0.0 in,Cloudy
2016-11-20,16:29:00,58 °F,57 °F,97 %,ESE,5 mph,0 mph,29.87 in,0.0 in,Light Rain
2016-11-20,16:44:00,58 °F,58 °F,100 %,ESE,3 mph,0 mph,29.87 in,0.0 in,Light Rain
2016-11-20,16:53:00,58 °F,57 °F,97 %,E,3 mph,0 mph,29.87 in,0.0 in,Light Rain
2016-11-20,17:09:00,58 °F,57 °F,97 %,CALM,0 mph,0 mph,29.87 in,0.0 in,Light Rain
2016-11-20,17:53:00,57 °F,56 °F,96 %,SSE,3 mph,0 mph,29.87 in,0.0 in,Cloudy
2016-11-20,18:15:00,57 °F,56 °F,96 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Light Rain
2016-11-20,18:23:00,56 °F,56 °F,100 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Rain
2016-11-20,18:53:00,57 °F,57 °F,100 %,CALM,0 mph,0 mph,29.87 in,0.0 in,Cloudy
2016-11-20,19:42:00,57 °F,57 °F,100 %,ESE,6 mph,0 mph,29.87 in,0.0 in,Cloudy
2016-11-20,19:53:00,57 °F,56 °F,96 %,E,3 mph,0 mph,29.87 in,0.0 in,Cloudy
2016-12-11,16:53:00,62 °F,57 °F,84 %,W,6 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2016-12-11,17:02:00,62 °F,58 °F,86 %,W,7 mph,0 mph,30.00 in,0.0 in,Partly Cloudy
2016-12-11,17:53:00,61 °F,58 °F,90 %,CALM,0 mph,0 mph,30.00 in,0.0 in,Partly Cloudy
2016-12-11,18:04:00,61 °F,58 °F,90 %,W,3 mph,0 mph,30.00 in,0.0 in,Cloudy
2016-12-11,18:15:00,61 °F,57 °F,87 %,W,6 mph,0 mph,30.01 in,0.0 in,Cloudy
2016-12-11,18:44:00,61 °F,58 °F,90 %,W,8 mph,0 mph,30.01 in,0.0 in,Cloudy
2016-12-11,18:53:00,61 °F,58 °F,90 %,W,5 mph,0 mph,30.01 in,0.0 in,Cloudy
2016-12-11,19:53:00,61 °F,58 °F,90 %,W,6 mph,0 mph,30.02 in,0.0 in,Cloudy
2016-12-24,16:53:00,55 °F,38 °F,53 %,W,12 mph,24 mph,29.72 in,0.0 in,Mostly Cloudy
2016-12-24,17:53:00,54 °F,28 °F,37 %,VAR,3 mph,0 mph,29.75 in,0.0 in,Fair
2016-12-24,18:53:00,52 °F,28 °F,40 %,NW,5 mph,0 mph,29.77 in,0.0 in,Fair
2016-12-24,19:53:00,51 °F,29 °F,43 %,NW,5 mph,0 mph,29.81 in,0.0 in,Fair
2017-1-1,16:53:00,56 °F,44 °F,64 %,WSW,5 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2017-1-1,17:53:00,55 °F,44 °F,67 %,SSW,3 mph,0 mph,29.89 in,0.0 in,Partly Cloudy
2017-1-1,18:53:00,55 °F,45 °F,69 %,CALM,0 mph,0 mph,29.91 in,0.0 in,Cloudy
2017-1-1,19:53:00,54 °F,45 °F,72 %,CALM,0 mph,0 mph,29.92 in,0.0 in,Cloudy
2017-9-10,16:53:00,73 °F,65 °F,76 %,WSW,9 mph,0 mph,29.77 in,0.0 in,Mostly Cloudy
2017-9-10,17:53:00,72 °F,64 °F,76 %,WSW,7 mph,0 mph,29.77 in,0.0 in,Mostly Cloudy
2017-9-10,18:53:00,71 °F,63 °F,75 %,SW,9 mph,0 mph,29.78 in,0.0 in,Mostly Cloudy
2017-9-10,19:53:00,70 °F,64 °F,81 %,WSW,8 mph,0 mph,29.82 in,0.0 in,Fair
2017-9-17,16:53:00,71 °F,60 °F,68 %,W,12 mph,0 mph,29.84 in,0.0 in,Fair
2017-9-17,17:53:00,69 °F,61 °F,75 %,WSW,12 mph,0 mph,29.84 in,0.0 in,Fair
2017-9-17,18:53:00,68 °F,61 °F,78 %,W,7 mph,0 mph,29.85 in,0.0 in,Fair
2017-9-17,19:53:00,68 °F,62 °F,81 %,W,6 mph,0 mph,29.87 in,0.0 in,Fair
2017-10-8,16:53:00,72 °F,59 °F,64 %,S,6 mph,0 mph,29.64 in,0.0 in,Fair
2017-10-8,17:53:00,69 °F,60 °F,73 %,SE,5 mph,0 mph,29.65 in,0.0 in,Fair
2017-10-8,18:53:00,68 °F,59 °F,73 %,SSE,6 mph,0 mph,29.67 in,0.0 in,Fair
2017-10-8,19:09:00,67 °F,59 °F,76 %,SE,7 mph,0 mph,29.66 in,0.0 in,Mostly Cloudy
2017-10-8,19:53:00,68 °F,59 °F,73 %,ESE,6 mph,0 mph,29.68 in,0.0 in,Cloudy
2017-11-12,16:53:00,65 °F,58 °F,78 %,W,7 mph,0 mph,29.98 in,0.0 in,Fair
2017-11-12,17:53:00,64 °F,56 °F,75 %,CALM,0 mph,0 mph,29.99 in,0.0 in,Fair
2017-11-12,18:53:00,63 °F,57 °F,81 %,W,7 mph,0 mph,30.01 in,0.0 in,Cloudy
2017-11-12,19:53:00,63 °F,56 °F,78 %,WSW,5 mph,0 mph,30.01 in,0.0 in,Mostly Cloudy
2017-11-26,16:53:00,61 °F,56 °F,83 %,W,7 mph,0 mph,29.93 in,0.0 in,Cloudy
2017-11-26,17:21:00,60 °F,56 °F,86 %,WNW,8 mph,0 mph,29.93 in,0.0 in,Partly Cloudy
2017-11-26,17:40:00,60 °F,56 °F,86 %,WNW,6 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-11-26,17:53:00,61 °F,56 °F,83 %,WNW,6 mph,0 mph,29.93 in,0.0 in,Cloudy
2017-11-26,18:49:00,61 °F,55 °F,82 %,WSW,6 mph,0 mph,29.93 in,0.0 in,Partly Cloudy
2017-11-26,18:53:00,60 °F,56 °F,86 %,WSW,7 mph,0 mph,29.93 in,0.0 in,Partly Cloudy
2017-11-26,19:00:00,60 °F,56 °F,86 %,WSW,6 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy
