Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-3,16:53:00,87 °F,74 °F,65 %,E,9 mph,0 mph,29.85 in,0.0 in,Fair
2000-9-3,17:53:00,84 °F,74 °F,72 %,E,10 mph,0 mph,29.84 in,0.0 in,Fair
2000-9-3,18:53:00,83 °F,75 °F,77 %,ESE,7 mph,0 mph,29.86 in,0.0 in,Fair
2000-9-3,19:53:00,83 °F,75 °F,77 %,CALM,0 mph,0 mph,29.89 in,0.0 in,Fair
2000-9-17,22:53:00,82 °F,74 °F,76 %,E,10 mph,0 mph,29.92 in,0.0 in,Fair
2000-9-17,23:53:00,82 °F,75 °F,79 %,ESE,12 mph,0 mph,29.90 in,0.0 in,Partly Cloudy
2000-9-17,20:53:00,74 °F,72 °F,93 %,CALM,0 mph,0 mph,29.97 in,0.1 in,Partly Cloudy
2000-9-17,21:53:00,74 °F,72 °F,93 %,ESE,5 mph,0 mph,29.96 in,0.0 in,Fair
2000-9-24,13:53:00,88 °F,72 °F,59 %,E,8 mph,0 mph,29.89 in,0.0 in,Fair
2000-9-24,14:53:00,88 °F,73 °F,61 %,E,12 mph,0 mph,29.87 in,0.0 in,Fair
2000-9-24,15:53:00,87 °F,73 °F,63 %,E,10 mph,0 mph,29.87 in,0.0 in,Fair
2000-9-24,16:53:00,86 °F,70 °F,59 %,ESE,9 mph,0 mph,29.87 in,0.0 in,Fair
2000-10-8,13:53:00,90 °F,72 °F,55 %,N,8 mph,0 mph,29.91 in,0.0 in,Partly Cloudy
2000-10-8,14:53:00,89 °F,72 °F,57 %,N,6 mph,0 mph,29.90 in,0.0 in,Cloudy
2000-10-8,15:53:00,88 °F,72 °F,59 %,N,7 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy
2000-10-8,16:53:00,88 °F,73 °F,61 %,NNE,7 mph,0 mph,29.90 in,0.0 in,Cloudy
2000-10-29,13:53:00,83 °F,64 °F,53 %,ENE,12 mph,0 mph,30.05 in,0.0 in,Fair
2000-10-29,14:53:00,82 °F,63 °F,52 %,ENE,14 mph,0 mph,30.05 in,0.0 in,Fair
2000-10-29,15:53:00,81 °F,64 °F,56 %,ENE,10 mph,0 mph,30.04 in,0.0 in,Fair
2000-10-29,16:53:00,79 °F,63 °F,58 %,ENE,12 mph,0 mph,30.04 in,0.0 in,Fair
2000-11-19,16:53:00,82 °F,69 °F,65 %,SW,12 mph,0 mph,29.98 in,0.0 in,Fair
2000-11-19,17:53:00,79 °F,70 °F,74 %,W,8 mph,0 mph,29.99 in,0.0 in,Fair
2000-11-19,18:53:00,77 °F,71 °F,82 %,WSW,7 mph,0 mph,30.01 in,0.0 in,Fair
2000-11-19,19:53:00,74 °F,71 °F,91 %,WSW,5 mph,0 mph,30.03 in,0.0 in,Fair
2000-12-10,13:07:00,73 °F,72 °F,94 %,NE,5 mph,0 mph,30.05 in,0.0 in,Cloudy
2000-12-10,13:17:00,73 °F,72 °F,94 %,E,5 mph,0 mph,30.05 in,0.0 in,Cloudy
2000-12-10,13:42:00,73 °F,72 °F,94 %,E,10 mph,0 mph,30.04 in,0.1 in,Cloudy
2000-12-10,13:53:00,72 °F,71 °F,97 %,E,9 mph,0 mph,30.04 in,0.1 in,Cloudy
2000-12-10,14:11:00,72 °F,72 °F,100 %,ENE,12 mph,0 mph,30.03 in,0.0 in,Cloudy
2000-12-10,14:21:00,72 °F,72 °F,100 %,NE,9 mph,0 mph,30.03 in,0.1 in,Cloudy
2000-12-10,14:28:00,72 °F,72 °F,100 %,ENE,9 mph,0 mph,30.03 in,0.1 in,Cloudy
2000-12-10,14:33:00,72 °F,72 °F,100 %,ENE,10 mph,0 mph,30.03 in,0.1 in,Cloudy
2000-12-10,14:53:00,73 °F,72 °F,96 %,ENE,9 mph,0 mph,30.03 in,0.1 in,Cloudy
2000-12-10,15:03:00,73 °F,72 °F,94 %,NE,6 mph,0 mph,30.03 in,0.0 in,Cloudy
2000-12-10,15:08:00,72 °F,72 °F,100 %,NE,5 mph,0 mph,30.03 in,0.0 in,Cloudy
2000-12-10,15:40:00,72 °F,72 °F,100 %,ENE,5 mph,0 mph,30.04 in,0.5 in,Cloudy
2000-12-10,15:53:00,72 °F,72 °F,100 %,W,9 mph,0 mph,30.04 in,0.0 in,Cloudy
2000-12-10,16:00:00,72 °F,72 °F,100 %,N,12 mph,0 mph,30.04 in,0.0 in,Cloudy
