Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-3,13:34:00,70 °F,63 °F,78 %,N,8 mph,0 mph,29.11 in,0.0 in,Cloudy
2000-9-3,13:53:00,70 °F,62 °F,76 %,NNE,9 mph,0 mph,29.10 in,0.0 in,Mostly Cloudy
2000-9-3,14:31:00,72 °F,63 °F,73 %,NNE,10 mph,0 mph,29.10 in,0.0 in,Partly Cloudy
2000-9-3,14:53:00,73 °F,63 °F,71 %,N,10 mph,16 mph,29.09 in,0.0 in,Partly Cloudy
2000-9-3,15:53:00,73 °F,62 °F,68 %,N,12 mph,0 mph,29.10 in,0.0 in,Partly Cloudy
2000-9-3,16:53:00,71 °F,61 °F,70 %,NNE,15 mph,0 mph,29.12 in,0.0 in,Fair
2000-10-22,13:53:00,67 °F,45 °F,45 %,ESE,12 mph,0 mph,29.33 in,0.0 in,Cloudy
2000-10-22,14:53:00,67 °F,46 °F,47 %,ESE,12 mph,0 mph,29.33 in,0.0 in,Cloudy
2000-10-22,15:53:00,66 °F,46 °F,48 %,ESE,9 mph,0 mph,29.33 in,0.0 in,Cloudy
2000-10-22,16:53:00,65 °F,47 °F,52 %,SE,8 mph,0 mph,29.34 in,0.0 in,Cloudy
2000-11-12,13:37:00,37 °F,36 °F,93 %,E,12 mph,0 mph,28.93 in,0.0 in,Cloudy
2000-11-12,13:53:00,37 °F,35 °F,93 %,E,12 mph,0 mph,28.94 in,0.0 in,Cloudy
2000-11-12,14:53:00,38 °F,36 °F,93 %,E,10 mph,0 mph,28.93 in,0.0 in,Cloudy
2000-11-12,15:53:00,37 °F,35 °F,93 %,ENE,8 mph,0 mph,28.92 in,0.0 in,Cloudy
2000-11-12,16:53:00,36 °F,35 °F,97 %,ENE,9 mph,0 mph,28.92 in,0.0 in,Cloudy
2000-11-19,13:02:00,27 °F,21 °F,80 %,W,17 mph,21 mph,28.75 in,0.0 in,Cloudy
2000-11-19,13:53:00,26 °F,22 °F,84 %,W,13 mph,0 mph,28.78 in,0.0 in,Cloudy
2000-11-19,14:25:00,27 °F,21 °F,80 %,W,12 mph,0 mph,28.76 in,0.0 in,Cloudy
2000-11-19,14:53:00,26 °F,22 °F,84 %,W,13 mph,0 mph,28.80 in,0.0 in,Cloudy
2000-11-19,15:00:00,27 °F,21 °F,80 %,W,9 mph,0 mph,28.77 in,0.0 in,Cloudy
2000-11-19,15:38:00,27 °F,23 °F,86 %,W,12 mph,0 mph,28.78 in,0.0 in,Cloudy
2000-11-19,15:53:00,27 °F,23 °F,85 %,W,9 mph,0 mph,28.81 in,0.0 in,Cloudy
