Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-3,13:19:00,68 °F,64 °F,88 %,ESE,14 mph,0 mph,29.91 in,0.0 in,Mostly Cloudy
2000-9-3,13:45:00,66 °F,64 °F,94 %,ESE,14 mph,0 mph,29.91 in,0.0 in,Cloudy
2000-9-3,13:54:00,67 °F,64 °F,90 %,E,12 mph,0 mph,29.91 in,0.0 in,Cloudy
2000-9-3,14:54:00,66 °F,64 °F,93 %,ESE,12 mph,0 mph,29.89 in,0.0 in,Cloudy
2000-9-3,15:54:00,66 °F,64 °F,93 %,E,9 mph,0 mph,29.88 in,0.0 in,Cloudy
2000-9-3,16:54:00,66 °F,64 °F,93 %,ESE,10 mph,0 mph,29.88 in,0.0 in,Cloudy
2000-9-17,16:54:00,67 °F,51 °F,57 %,SW,20 mph,0 mph,29.86 in,0.0 in,Partly Cloudy
2000-9-17,17:54:00,65 °F,52 °F,63 %,SW,16 mph,0 mph,29.88 in,0.0 in,Partly Cloudy
2000-9-17,18:54:00,64 °F,53 °F,67 %,SW,13 mph,0 mph,29.90 in,0.0 in,Fair
2000-9-17,19:54:00,63 °F,51 °F,65 %,SSW,13 mph,0 mph,29.92 in,0.0 in,Fair
2000-10-8,13:54:00,53 °F,31 °F,43 %,WNW,16 mph,0 mph,30.06 in,0.0 in,Mostly Cloudy
2000-10-8,14:54:00,53 °F,33 °F,47 %,WNW,13 mph,0 mph,30.07 in,0.0 in,Mostly Cloudy
2000-10-8,15:54:00,53 °F,31 °F,43 %,WNW,14 mph,0 mph,30.08 in,0.0 in,Partly Cloudy
2000-10-8,16:54:00,51 °F,31 °F,46 %,WNW,10 mph,0 mph,30.11 in,0.0 in,Fair
2000-10-15,16:12:00,63 °F,55 °F,77 %,ENE,17 mph,0 mph,30.01 in,0.0 in,Mostly Cloudy
