Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-3,13:53:00,94 °F,79 °F,62 %,E,10 mph,0 mph,29.80 in,0.0 in,Partly Cloudy
2000-9-3,14:53:00,95 °F,76 °F,54 %,E,7 mph,0 mph,29.79 in,0.0 in,Partly Cloudy
2000-9-3,15:53:00,95 °F,74 °F,50 %,S,8 mph,0 mph,29.77 in,0.0 in,Partly Cloudy
2000-9-3,16:53:00,92 °F,77 °F,62 %,SSE,13 mph,0 mph,29.77 in,0.0 in,Fair
2000-9-24,13:53:00,91 °F,77 °F,63 %,S,10 mph,0 mph,29.86 in,0.0 in,Partly Cloudy
2000-9-24,14:53:00,89 °F,76 °F,65 %,SSE,9 mph,0 mph,29.85 in,0.0 in,Mostly Cloudy
2000-9-24,15:39:00,79 °F,73 °F,83 %,WSW,20 mph,30 mph,29.86 in,0.1 in,Mostly Cloudy
2000-9-24,15:53:00,78 °F,74 °F,87 %,SW,24 mph,32 mph,29.87 in,0.1 in,Mostly Cloudy / Windy
2000-9-24,16:11:00,79 °F,75 °F,89 %,SE,10 mph,0 mph,29.86 in,0.2 in,Mostly Cloudy
2000-9-24,16:26:00,81 °F,75 °F,84 %,S,9 mph,0 mph,29.85 in,0.2 in,Mostly Cloudy
2000-9-24,16:53:00,80 °F,76 °F,87 %,S,8 mph,0 mph,29.86 in,0.2 in,Mostly Cloudy
2000-10-15,13:53:00,80 °F,56 °F,43 %,VAR,5 mph,0 mph,30.12 in,0.0 in,Partly Cloudy
2000-10-15,14:53:00,81 °F,57 °F,44 %,WNW,6 mph,0 mph,30.12 in,0.0 in,Partly Cloudy
2000-10-15,15:53:00,80 °F,54 °F,40 %,NW,5 mph,0 mph,30.11 in,0.0 in,Partly Cloudy
2000-10-15,16:53:00,78 °F,56 °F,46 %,CALM,0 mph,0 mph,30.09 in,0.0 in,Partly Cloudy
2000-11-5,13:44:00,75 °F,70 °F,83 %,SW,20 mph,0 mph,29.83 in,0.1 in,Cloudy
2000-11-5,13:53:00,74 °F,70 °F,87 %,SSW,6 mph,0 mph,29.83 in,0.2 in,Cloudy
2000-11-5,14:09:00,75 °F,70 °F,83 %,WSW,7 mph,0 mph,29.82 in,0.0 in,Cloudy
2000-11-5,14:53:00,76 °F,70 °F,82 %,SW,8 mph,0 mph,29.82 in,0.0 in,Cloudy
2000-11-5,15:53:00,76 °F,71 °F,85 %,S,6 mph,0 mph,29.81 in,0.0 in,Mostly Cloudy
2000-11-5,16:53:00,76 °F,69 °F,79 %,S,5 mph,0 mph,29.81 in,0.0 in,Cloudy
2000-11-19,13:23:00,50 °F,45 °F,82 %,NNE,13 mph,0 mph,30.15 in,0.0 in,Cloudy
2000-11-19,13:53:00,51 °F,46 °F,83 %,N,10 mph,0 mph,30.16 in,0.0 in,Cloudy
2000-11-19,14:28:00,52 °F,45 °F,76 %,N,12 mph,0 mph,30.16 in,0.0 in,Cloudy
2000-11-19,14:53:00,52 °F,46 °F,80 %,N,10 mph,0 mph,30.17 in,0.0 in,Cloudy
2000-11-19,15:53:00,53 °F,46 °F,77 %,N,8 mph,0 mph,30.18 in,0.0 in,Cloudy
2000-11-19,16:53:00,53 °F,47 °F,80 %,N,8 mph,0 mph,30.20 in,0.0 in,Cloudy
2000-12-3,13:53:00,50 °F,34 °F,54 %,N,13 mph,0 mph,30.37 in,0.0 in,Mostly Cloudy
2000-12-3,14:53:00,50 °F,0 °F,50 %,N,12 mph,0 mph,30.38 in,0.0 in,Mostly Cloudy
2000-12-3,15:53:00,49 °F,0 °F,52 %,N,12 mph,0 mph,30.37 in,0.0 in,Mostly Cloudy
2000-12-3,16:53:00,48 °F,30 °F,50 %,NNE,14 mph,0 mph,30.39 in,0.0 in,Mostly Cloudy
2000-12-17,13:53:00,44 °F,17 °F,34 %,VAR,7 mph,0 mph,30.32 in,0.0 in,Fair
2000-12-17,14:53:00,45 °F,16 °F,31 %,VAR,7 mph,0 mph,30.31 in,0.0 in,Fair
2000-12-17,15:53:00,45 °F,17 °F,33 %,NNW,9 mph,0 mph,30.32 in,0.0 in,Fair
2000-12-17,16:53:00,43 °F,17 °F,35 %,NNW,6 mph,0 mph,30.31 in,0.0 in,Fair
