Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-17,13:51:00,70 °F,51 °F,51 %,SSW,14 mph,0 mph,29.96 in,0.0 in,Fair
2000-9-17,14:51:00,71 °F,51 °F,49 %,W,16 mph,22 mph,29.95 in,0.0 in,Fair
2000-9-17,15:51:00,70 °F,49 °F,47 %,WSW,15 mph,0 mph,29.94 in,0.0 in,Fair
2000-9-17,16:51:00,69 °F,50 °F,51 %,WSW,16 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
2000-10-8,13:51:00,55 °F,37 °F,51 %,N,14 mph,20 mph,30.12 in,0.0 in,Mostly Cloudy
2000-10-8,14:51:00,54 °F,36 °F,51 %,NW,9 mph,17 mph,30.13 in,0.0 in,Mostly Cloudy
2000-10-8,15:51:00,53 °F,34 °F,48 %,WNW,9 mph,0 mph,30.13 in,0.0 in,Mostly Cloudy
2000-10-8,16:51:00,51 °F,37 °F,59 %,NNW,10 mph,0 mph,30.15 in,0.0 in,Mostly Cloudy
2000-11-5,16:51:00,49 °F,37 °F,64 %,NNW,15 mph,25 mph,29.86 in,0.0 in,Mostly Cloudy
2000-11-5,17:51:00,47 °F,37 °F,68 %,NNW,14 mph,0 mph,29.89 in,0.0 in,Fair
2000-11-5,18:51:00,46 °F,37 °F,71 %,NNW,12 mph,24 mph,29.90 in,0.0 in,Fair
2000-11-5,19:51:00,47 °F,37 °F,68 %,NW,14 mph,18 mph,29.92 in,0.0 in,Cloudy
2000-11-26,13:10:00,52 °F,0 °F,0 %,E,14 mph,23 mph,29.65 in,0.1 in,Cloudy
2000-11-26,13:21:00,52 °F,0 °F,0 %,NE,9 mph,0 mph,29.65 in,0.1 in,Cloudy
2000-11-26,13:51:00,52 °F,52 °F,100 %,VAR,7 mph,0 mph,29.63 in,0.2 in,Cloudy
2000-11-26,14:51:00,52 °F,52 °F,100 %,NE,6 mph,0 mph,29.61 in,0.0 in,Cloudy
2000-11-26,15:51:00,52 °F,52 °F,99 %,NNE,5 mph,0 mph,29.59 in,0.0 in,Cloudy
2000-11-26,16:51:00,51 °F,50 °F,96 %,NNE,6 mph,0 mph,29.59 in,0.0 in,Cloudy
2000-12-3,16:51:00,34 °F,7 °F,32 %,NNE,6 mph,0 mph,30.48 in,0.0 in,Mostly Cloudy
2000-12-3,17:51:00,33 °F,9 °F,37 %,NE,3 mph,0 mph,30.48 in,0.0 in,Fair
2000-12-3,18:51:00,31 °F,11 °F,43 %,CALM,0 mph,0 mph,30.48 in,0.0 in,Fair
2000-12-3,19:51:00,28 °F,13 °F,53 %,CALM,0 mph,0 mph,30.48 in,0.0 in,Fair
2000-12-17,13:28:00,59 °F,55 °F,88 %,SSW,14 mph,0 mph,29.32 in,0.1 in,Cloudy
2000-12-17,13:51:00,58 °F,54 °F,87 %,SW,14 mph,0 mph,29.33 in,0.1 in,Cloudy
2000-12-17,14:51:00,55 °F,49 °F,80 %,SSW,10 mph,0 mph,29.29 in,0.0 in,Cloudy
2000-12-17,15:51:00,53 °F,49 °F,86 %,S,8 mph,0 mph,29.25 in,0.0 in,Cloudy
2000-12-17,16:51:00,50 °F,46 °F,86 %,S,8 mph,0 mph,29.23 in,0.0 in,Partly Cloudy
2001-9-9,13:51:00,83 °F,67 °F,58 %,S,13 mph,0 mph,30.15 in,0.0 in,Fair
2001-9-9,14:51:00,82 °F,68 °F,62 %,S,10 mph,0 mph,30.14 in,0.0 in,Fair
2001-9-9,15:51:00,81 °F,68 °F,65 %,SSE,14 mph,0 mph,30.13 in,0.0 in,Fair
2001-9-9,16:51:00,80 °F,67 °F,64 %,SSE,12 mph,0 mph,30.12 in,0.0 in,Fair
2001-10-14,16:51:00,64 °F,57 °F,77 %,SSE,12 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy
2001-10-14,17:51:00,63 °F,57 °F,82 %,VAR,6 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy
2001-10-14,18:32:00,0 °F,0 °F,0 %,SSE,6 mph,0 mph,29.92 in,0.0 in,Cloudy
2001-10-14,18:51:00,63 °F,59 °F,88 %,SSE,10 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy
2001-10-14,19:51:00,63 °F,59 °F,88 %,SE,12 mph,0 mph,29.91 in,0.0 in,Cloudy
2001-10-21,13:51:00,73 °F,59 °F,61 %,S,12 mph,0 mph,30.09 in,0.0 in,Fair
2001-10-21,14:51:00,74 °F,60 °F,62 %,S,10 mph,0 mph,30.07 in,0.0 in,Fair
