Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-3,16:53:00,65 °F,55 °F,70 %,W,21 mph,0 mph,30.00 in,0.0 in,Fair / Windy
2000-9-3,17:53:00,64 °F,55 °F,72 %,W,18 mph,0 mph,30.00 in,0.0 in,Fair
2000-9-3,18:53:00,62 °F,55 °F,78 %,W,18 mph,0 mph,30.02 in,0.0 in,Fair
2000-9-3,19:53:00,61 °F,55 °F,81 %,W,17 mph,0 mph,30.03 in,0.0 in,Fair
2000-9-17,16:53:00,83 °F,59 °F,44 %,NW,10 mph,0 mph,29.78 in,0.0 in,Fair
2000-9-17,17:53:00,79 °F,57 °F,47 %,NW,9 mph,0 mph,29.79 in,0.0 in,Fair
2000-9-17,18:53:00,75 °F,63 °F,66 %,WNW,7 mph,0 mph,29.79 in,0.0 in,Fair
2000-9-17,19:53:00,71 °F,60 °F,68 %,CALM,0 mph,0 mph,29.81 in,0.0 in,Fair
2000-9-24,16:53:00,67 °F,60 °F,79 %,WNW,15 mph,0 mph,30.00 in,0.0 in,Fair
2000-9-24,17:53:00,63 °F,60 °F,90 %,WNW,9 mph,0 mph,30.01 in,0.0 in,Fair
2000-9-24,18:53:00,61 °F,59 °F,93 %,WNW,10 mph,0 mph,30.02 in,0.0 in,Fair
2000-9-24,19:53:00,60 °F,59 °F,96 %,NW,6 mph,0 mph,30.03 in,0.0 in,Fair
2000-10-22,16:53:00,70 °F,41 °F,35 %,NE,9 mph,17 mph,29.85 in,0.0 in,Fair
2000-10-22,17:53:00,65 °F,38 °F,37 %,WNW,5 mph,0 mph,29.85 in,0.0 in,Fair
2000-10-22,18:53:00,64 °F,0 °F,30 %,NNW,5 mph,0 mph,29.85 in,0.0 in,Fair
2000-10-22,19:53:00,59 °F,34 °F,39 %,NNW,7 mph,0 mph,29.84 in,0.0 in,Fair
2000-11-5,13:53:00,59 °F,51 °F,75 %,W,9 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy
2000-11-5,14:53:00,59 °F,50 °F,72 %,W,8 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2000-11-5,15:53:00,58 °F,51 °F,78 %,W,10 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy
2000-11-5,16:53:00,57 °F,50 °F,77 %,W,7 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy
2000-11-26,16:53:00,53 °F,49 °F,86 %,WNW,7 mph,0 mph,30.14 in,0.0 in,Mostly Cloudy
2000-11-26,17:53:00,51 °F,47 °F,86 %,NNW,6 mph,0 mph,30.15 in,0.0 in,Partly Cloudy
2000-11-26,18:53:00,51 °F,47 °F,86 %,NNW,7 mph,0 mph,30.17 in,0.0 in,Fair
2000-11-26,19:53:00,49 °F,46 °F,90 %,NNW,7 mph,0 mph,30.17 in,0.0 in,Fair
2000-12-10,23:53:00,54 °F,53 °F,97 %,CALM,0 mph,0 mph,30.08 in,0.0 in,Cloudy
2000-12-10,20:53:00,52 °F,47 °F,83 %,SW,3 mph,0 mph,30.15 in,0.0 in,Mostly Cloudy
2000-12-10,21:53:00,48 °F,45 °F,89 %,CALM,0 mph,0 mph,30.15 in,0.0 in,Mostly Cloudy
2000-12-10,22:28:00,46 °F,45 °F,93 %,E,5 mph,0 mph,30.16 in,0.0 in,Partly Cloudy
2000-12-10,22:53:00,47 °F,44 °F,90 %,NNE,3 mph,0 mph,30.17 in,0.0 in,Partly Cloudy
2000-12-24,16:53:00,52 °F,44 °F,74 %,NW,6 mph,0 mph,30.17 in,0.0 in,Cloudy
2000-12-24,17:53:00,52 °F,43 °F,71 %,WNW,6 mph,0 mph,30.17 in,0.0 in,Partly Cloudy
2000-12-24,18:53:00,48 °F,42 °F,80 %,CALM,0 mph,0 mph,30.18 in,0.0 in,Fair
2000-12-24,19:53:00,45 °F,42 °F,90 %,CALM,0 mph,0 mph,30.18 in,0.0 in,Fair
2001-9-30,16:53:00,83 °F,56 °F,39 %,NW,9 mph,0 mph,29.74 in,0.0 in,Fair
2001-9-30,17:53:00,78 °F,57 °F,48 %,WNW,8 mph,0 mph,29.77 in,0.0 in,Fair
2001-9-30,18:53:00,74 °F,54 °F,50 %,W,7 mph,0 mph,29.79 in,0.0 in,Fair
2001-9-30,19:53:00,73 °F,56 °F,55 %,CALM,0 mph,0 mph,29.80 in,0.0 in,Fair
2001-10-7,13:53:00,64 °F,53 °F,67 %,WNW,12 mph,0 mph,30.08 in,0.0 in,Partly Cloudy
2001-10-7,14:53:00,62 °F,54 °F,75 %,WNW,12 mph,0 mph,30.06 in,0.0 in,Mostly Cloudy
2001-10-7,15:53:00,62 °F,53 °F,72 %,WNW,12 mph,0 mph,30.06 in,0.0 in,Mostly Cloudy
2001-10-7,16:53:00,59 °F,53 °F,81 %,WNW,12 mph,0 mph,30.06 in,0.0 in,Cloudy
2001-11-18,16:53:00,61 °F,54 °F,78 %,WNW,6 mph,0 mph,30.12 in,0.0 in,Mostly Cloudy
2001-11-18,17:53:00,59 °F,52 °F,78 %,ENE,7 mph,0 mph,30.13 in,0.0 in,Mostly Cloudy
2001-11-18,18:53:00,59 °F,52 °F,78 %,CALM,0 mph,0 mph,30.16 in,0.0 in,Mostly Cloudy
2001-11-18,19:53:00,57 °F,52 °F,83 %,CALM,0 mph,0 mph,30.15 in,0.0 in,Partly Cloudy
2001-12-2,16:53:00,52 °F,45 °F,77 %,SSW,13 mph,0 mph,29.81 in,0.0 in,Mostly Cloudy
2001-12-2,17:53:00,53 °F,46 °F,77 %,SSW,13 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2001-12-2,18:53:00,54 °F,45 °F,72 %,SW,14 mph,0 mph,29.86 in,0.0 in,Cloudy
2001-12-2,19:53:00,53 °F,45 °F,74 %,SW,16 mph,0 mph,29.88 in,0.0 in,Mostly Cloudy
2001-12-9,16:53:00,53 °F,41 °F,64 %,WNW,6 mph,0 mph,29.99 in,0.0 in,Fair
2001-12-9,17:53:00,52 °F,44 °F,74 %,WNW,3 mph,0 mph,30.00 in,0.0 in,Fair
2001-12-9,18:53:00,49 °F,41 °F,74 %,N,6 mph,0 mph,30.01 in,0.0 in,Fair
2001-12-9,19:53:00,49 °F,43 °F,80 %,NW,8 mph,0 mph,30.01 in,0.0 in,Fair
2002-1-6,16:53:00,56 °F,52 °F,87 %,WNW,6 mph,0 mph,30.29 in,0.0 in,Mostly Cloudy
2002-1-6,17:53:00,54 °F,51 °F,90 %,NW,6 mph,0 mph,30.29 in,0.0 in,Mostly Cloudy
2002-1-6,18:53:00,53 °F,51 °F,93 %,NW,5 mph,0 mph,30.30 in,0.0 in,Mostly Cloudy
2002-1-6,19:53:00,53 °F,51 °F,93 %,CALM,0 mph,0 mph,30.31 in,0.0 in,Partly Cloudy
2002-9-8,16:53:00,70 °F,53 °F,55 %,WNW,12 mph,0 mph,30.01 in,0.0 in,Fair
2002-9-8,17:53:00,68 °F,53 °F,59 %,WNW,9 mph,0 mph,30.01 in,0.0 in,Fair
2002-9-8,18:53:00,64 °F,54 °F,70 %,WNW,8 mph,0 mph,30.02 in,0.0 in,Fair
2002-9-8,19:53:00,63 °F,54 °F,72 %,WNW,8 mph,0 mph,30.03 in,0.0 in,Fair
2002-9-29,16:53:00,63 °F,54 °F,72 %,W,14 mph,0 mph,29.99 in,0.0 in,Partly Cloudy
2002-9-29,17:53:00,61 °F,54 °F,78 %,W,14 mph,0 mph,29.99 in,0.0 in,Partly Cloudy
2002-9-29,18:37:00,61 °F,54 °F,77 %,W,10 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2002-9-29,18:53:00,59 °F,53 °F,81 %,W,12 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy
2002-9-29,19:53:00,60 °F,53 °F,78 %,W,15 mph,0 mph,30.01 in,0.0 in,Cloudy
2002-10-20,16:53:00,62 °F,56 °F,80 %,WNW,8 mph,0 mph,29.86 in,0.0 in,Fair
2002-10-20,17:53:00,59 °F,55 °F,87 %,NW,7 mph,0 mph,29.87 in,0.0 in,Fair
2002-10-20,18:53:00,57 °F,54 °F,89 %,WNW,8 mph,0 mph,29.87 in,0.0 in,Fair
2002-10-20,19:53:00,56 °F,54 °F,93 %,WNW,8 mph,0 mph,29.87 in,0.0 in,Fair
2002-11-3,16:53:00,63 °F,43 °F,48 %,WNW,7 mph,0 mph,29.91 in,0.0 in,Partly Cloudy
2002-11-3,17:53:00,60 °F,45 °F,57 %,WNW,6 mph,0 mph,29.92 in,0.0 in,Partly Cloudy
2002-11-3,18:53:00,57 °F,47 °F,69 %,WNW,7 mph,0 mph,29.92 in,0.0 in,Fair
2002-11-3,19:53:00,56 °F,48 °F,75 %,WNW,5 mph,0 mph,29.93 in,0.0 in,Fair
2002-11-17,23:53:00,52 °F,51 °F,97 %,CALM,0 mph,0 mph,30.19 in,0.0 in,Cloudy
2002-11-17,20:53:00,52 °F,46 °F,80 %,E,3 mph,0 mph,30.19 in,0.0 in,Fair
2002-11-17,21:53:00,51 °F,46 °F,83 %,CALM,0 mph,0 mph,30.20 in,0.0 in,Fair
2002-11-17,22:53:00,50 °F,45 °F,83 %,CALM,0 mph,0 mph,30.21 in,0.0 in,Fair
2002-12-22,16:53:00,54 °F,37 °F,53 %,NW,9 mph,0 mph,30.04 in,0.0 in,Fair
2002-12-22,17:53:00,53 °F,35 °F,50 %,NW,5 mph,0 mph,30.05 in,0.0 in,Fair
2002-12-22,18:53:00,50 °F,42 °F,74 %,WNW,7 mph,0 mph,30.05 in,0.0 in,Fair
2002-12-22,19:53:00,50 °F,34 °F,54 %,NW,7 mph,0 mph,30.05 in,0.0 in,Fair
2002-12-28,17:19:00,52 °F,46 °F,82 %,SW,17 mph,0 mph,29.72 in,0.0 in,Cloudy
2002-12-28,17:53:00,50 °F,44 °F,80 %,SW,15 mph,0 mph,29.73 in,0.1 in,Cloudy
2002-12-28,18:53:00,50 °F,44 °F,80 %,SSW,10 mph,0 mph,29.75 in,0.0 in,Mostly Cloudy
2002-12-28,19:53:00,50 °F,45 °F,83 %,SSE,14 mph,0 mph,29.79 in,0.0 in,Mostly Cloudy
2002-12-28,20:53:00,52 °F,45 °F,77 %,SSW,16 mph,0 mph,29.81 in,0.0 in,Mostly Cloudy
2003-9-14,16:53:00,66 °F,59 °F,78 %,NW,13 mph,0 mph,29.90 in,0.0 in,Fair
