Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-10,13:54:00,86 °F,69 °F,57 %,ESE,8 mph,0 mph,30.11 in,0.0 in,Partly Cloudy
2000-9-10,14:54:00,84 °F,70 °F,63 %,ESE,9 mph,0 mph,30.09 in,0.0 in,Partly Cloudy
2000-9-10,15:54:00,83 °F,68 °F,60 %,ESE,12 mph,0 mph,30.08 in,0.0 in,Partly Cloudy
2000-9-10,16:54:00,81 °F,68 °F,65 %,SE,10 mph,0 mph,30.09 in,0.0 in,Partly Cloudy
2000-10-1,22:54:00,56 °F,54 °F,93 %,CALM,0 mph,0 mph,30.25 in,0.0 in,Mostly Cloudy
2000-10-1,23:37:00,54 °F,52 °F,94 %,CALM,0 mph,0 mph,30.25 in,0.0 in,Partly Cloudy
2000-10-1,23:54:00,56 °F,54 °F,93 %,CALM,0 mph,0 mph,30.24 in,0.0 in,Partly Cloudy
2000-10-1,20:54:00,61 °F,56 °F,83 %,E,6 mph,0 mph,30.07 in,0.0 in,Mostly Cloudy
2000-10-1,21:54:00,61 °F,56 °F,83 %,NE,5 mph,0 mph,30.08 in,0.0 in,Cloudy
2000-10-8,13:54:00,54 °F,35 °F,49 %,NW,14 mph,21 mph,30.17 in,0.0 in,Partly Cloudy
2000-10-8,14:02:00,52 °F,34 °F,50 %,WNW,13 mph,0 mph,30.18 in,0.0 in,Mostly Cloudy
2000-10-8,14:54:00,52 °F,34 °F,50 %,NNW,15 mph,21 mph,30.17 in,0.0 in,Mostly Cloudy
2000-10-8,15:54:00,51 °F,33 °F,50 %,NW,10 mph,0 mph,30.18 in,0.0 in,Mostly Cloudy
2000-10-8,16:54:00,50 °F,0 °F,50 %,NW,8 mph,0 mph,30.17 in,0.0 in,Partly Cloudy
2000-10-22,13:54:00,65 °F,36 °F,34 %,N,7 mph,0 mph,30.43 in,0.0 in,Partly Cloudy
2000-10-22,14:54:00,65 °F,35 °F,33 %,E,9 mph,0 mph,30.43 in,0.0 in,Partly Cloudy
2000-10-22,15:54:00,64 °F,34 °F,33 %,CALM,0 mph,0 mph,30.45 in,0.0 in,Fair
2000-10-22,16:54:00,59 °F,34 °F,39 %,ENE,7 mph,0 mph,30.46 in,0.0 in,Fair
2000-11-5,13:54:00,52 °F,34 °F,50 %,NNW,15 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy
2000-11-5,14:54:00,52 °F,33 °F,49 %,NW,21 mph,28 mph,29.90 in,0.0 in,Partly Cloudy / Windy
2000-11-5,15:54:00,52 °F,31 °F,45 %,N,17 mph,26 mph,29.91 in,0.0 in,Partly Cloudy
2000-11-5,16:54:00,50 °F,31 °F,48 %,NNW,9 mph,0 mph,29.93 in,0.0 in,Fair
2000-11-19,13:54:00,39 °F,23 °F,53 %,W,9 mph,0 mph,30.12 in,0.0 in,Cloudy
2000-11-19,14:54:00,39 °F,24 °F,55 %,W,8 mph,0 mph,30.12 in,0.0 in,Cloudy
2000-11-19,15:54:00,39 °F,23 °F,53 %,WNW,6 mph,0 mph,30.11 in,0.0 in,Cloudy
2000-11-19,16:54:00,38 °F,23 °F,55 %,NW,7 mph,0 mph,30.09 in,0.0 in,Mostly Cloudy
2000-12-3,13:54:00,33 °F,12 °F,42 %,CALM,0 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
2000-12-3,14:54:00,34 °F,11 °F,38 %,N,10 mph,0 mph,30.49 in,0.0 in,Mostly Cloudy
2000-12-3,15:54:00,34 °F,14 °F,44 %,NNW,9 mph,0 mph,30.50 in,0.0 in,Mostly Cloudy
2000-12-3,16:54:00,32 °F,15 °F,50 %,N,5 mph,0 mph,30.50 in,0.0 in,Partly Cloudy
2000-12-24,13:54:00,33 °F,18 °F,54 %,SW,10 mph,0 mph,30.17 in,0.0 in,Partly Cloudy
2000-12-24,14:54:00,33 °F,18 °F,54 %,S,10 mph,0 mph,30.15 in,0.0 in,Partly Cloudy
2000-12-24,15:54:00,33 °F,20 °F,59 %,SW,9 mph,0 mph,30.16 in,0.0 in,Fair
2000-12-24,16:54:00,32 °F,19 °F,59 %,SSW,5 mph,0 mph,30.16 in,0.0 in,Fair
2001-9-9,16:54:00,83 °F,64 °F,53 %,S,13 mph,0 mph,30.12 in,0.0 in,Mostly Cloudy
2001-9-9,17:54:00,81 °F,67 °F,62 %,S,9 mph,0 mph,30.12 in,0.0 in,Mostly Cloudy
2001-9-9,18:54:00,77 °F,67 °F,71 %,SSE,7 mph,0 mph,30.15 in,0.0 in,Partly Cloudy
2001-9-9,19:54:00,75 °F,68 °F,79 %,SSE,6 mph,0 mph,30.17 in,0.0 in,Fair
2001-9-30,22:54:00,57 °F,42 °F,57 %,NE,18 mph,24 mph,30.15 in,0.0 in,Fair
2001-9-30,23:54:00,55 °F,42 °F,62 %,NE,16 mph,0 mph,30.14 in,0.0 in,Fair
2001-9-30,20:54:00,51 °F,47 °F,86 %,VAR,6 mph,0 mph,30.02 in,0.0 in,Cloudy
2001-9-30,21:54:00,51 °F,47 °F,86 %,NNE,7 mph,0 mph,30.02 in,0.0 in,Cloudy
2001-10-7,13:54:00,57 °F,25 °F,29 %,WNW,22 mph,30 mph,30.11 in,0.0 in,Partly Cloudy / Windy
2001-10-7,14:54:00,57 °F,24 °F,28 %,W,22 mph,28 mph,30.12 in,0.0 in,Partly Cloudy / Windy
2001-10-7,15:21:00,55 °F,25 °F,31 %,NW,22 mph,0 mph,30.13 in,0.0 in,Partly Cloudy / Windy
2001-10-7,15:54:00,57 °F,23 °F,27 %,NW,21 mph,0 mph,30.13 in,0.0 in,Partly Cloudy / Windy
