Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-3,13:51:00,82 °F,71 °F,69 %,N,6 mph,0 mph,28.63 in,0.0 in,Partly Cloudy
2000-9-3,14:51:00,82 °F,72 °F,71 %,NW,10 mph,0 mph,28.62 in,0.0 in,Partly Cloudy
2000-9-3,15:51:00,83 °F,69 °F,63 %,NNW,10 mph,16 mph,28.60 in,0.0 in,Fair
2000-9-3,16:51:00,83 °F,70 °F,65 %,N,6 mph,0 mph,28.59 in,0.0 in,Fair
2000-9-24,13:51:00,60 °F,54 °F,80 %,N,9 mph,0 mph,28.66 in,0.0 in,Cloudy
2000-9-24,14:51:00,60 °F,54 °F,80 %,N,12 mph,0 mph,28.66 in,0.0 in,Cloudy
2000-9-24,15:51:00,59 °F,53 °F,81 %,NNW,12 mph,0 mph,28.67 in,0.0 in,Cloudy
2000-9-24,16:51:00,57 °F,53 °F,87 %,NNE,10 mph,0 mph,28.67 in,0.0 in,Cloudy
2000-10-15,13:51:00,67 °F,52 °F,59 %,S,8 mph,0 mph,28.81 in,0.0 in,Mostly Cloudy
2000-10-15,14:51:00,69 °F,52 °F,54 %,S,8 mph,0 mph,28.80 in,0.0 in,Mostly Cloudy
2000-10-15,15:51:00,70 °F,51 °F,51 %,SSW,3 mph,0 mph,28.80 in,0.0 in,Cloudy
2000-10-15,16:51:00,69 °F,52 °F,54 %,CALM,0 mph,0 mph,28.81 in,0.0 in,Cloudy
2000-10-22,16:51:00,68 °F,40 °F,36 %,VAR,6 mph,0 mph,29.15 in,0.0 in,Fair
2000-10-22,17:51:00,64 °F,40 °F,41 %,ENE,5 mph,0 mph,29.17 in,0.0 in,Fair
2000-10-22,18:51:00,61 °F,39 °F,44 %,E,5 mph,0 mph,29.18 in,0.0 in,Fair
2000-10-22,19:51:00,58 °F,39 °F,49 %,VAR,3 mph,0 mph,29.19 in,0.0 in,Fair
2000-11-12,13:28:00,45 °F,36 °F,71 %,SSE,7 mph,0 mph,28.74 in,0.0 in,Mostly Cloudy
2000-11-12,13:51:00,44 °F,35 °F,71 %,VAR,6 mph,0 mph,28.78 in,0.0 in,Mostly Cloudy
2000-11-12,14:51:00,45 °F,35 °F,68 %,CALM,0 mph,0 mph,28.77 in,0.0 in,Mostly Cloudy
2000-11-12,15:51:00,45 °F,35 °F,68 %,SSW,3 mph,0 mph,28.77 in,0.0 in,Mostly Cloudy
2000-11-12,16:51:00,45 °F,36 °F,71 %,SSW,3 mph,0 mph,28.76 in,0.0 in,Mostly Cloudy
2000-11-19,23:51:00,29 °F,18 °F,64 %,SW,9 mph,0 mph,28.87 in,0.0 in,Cloudy
2000-11-19,20:51:00,29 °F,18 °F,64 %,SSE,6 mph,0 mph,28.74 in,0.0 in,Fair
2000-11-19,21:51:00,28 °F,19 °F,69 %,SSE,6 mph,0 mph,28.73 in,0.0 in,Partly Cloudy
2000-11-19,22:51:00,29 °F,20 °F,69 %,SSE,3 mph,0 mph,28.73 in,0.0 in,Cloudy
2000-12-3,13:51:00,32 °F,11 °F,42 %,NNW,7 mph,0 mph,29.27 in,0.0 in,Fair
2000-12-3,14:51:00,33 °F,11 °F,40 %,NW,3 mph,0 mph,29.26 in,0.0 in,Fair
