Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-10,16:51:00,72 °F,62 °F,71 %,W,8 mph,0 mph,29.85 in,0.0 in,Fair
2000-9-10,17:51:00,70 °F,62 °F,76 %,W,9 mph,0 mph,29.84 in,0.0 in,Fair
2000-9-10,18:51:00,69 °F,63 °F,81 %,WNW,8 mph,0 mph,29.86 in,0.0 in,Fair
2000-9-10,19:51:00,69 °F,62 °F,78 %,N,5 mph,0 mph,29.88 in,0.0 in,Fair
2000-9-24,16:51:00,71 °F,61 °F,70 %,WNW,12 mph,0 mph,29.94 in,0.0 in,Fair
2000-9-24,17:51:00,70 °F,62 °F,76 %,WNW,7 mph,0 mph,29.95 in,0.0 in,Fair
2000-9-24,18:51:00,70 °F,62 °F,76 %,NW,8 mph,0 mph,29.96 in,0.0 in,Fair
2000-9-24,19:51:00,69 °F,62 °F,78 %,NNW,7 mph,0 mph,29.97 in,0.0 in,Fair
2000-10-8,16:51:00,68 °F,65 °F,90 %,WNW,13 mph,0 mph,29.89 in,0.0 in,Partly Cloudy
2000-10-8,17:10:00,66 °F,64 °F,94 %,WNW,12 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2000-10-8,17:51:00,67 °F,64 °F,90 %,WNW,9 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2000-10-8,18:51:00,67 °F,64 °F,90 %,NW,7 mph,0 mph,29.91 in,0.0 in,Mostly Cloudy
2000-10-8,19:51:00,67 °F,64 °F,90 %,NW,8 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy
2000-10-29,23:51:00,60 °F,53 °F,78 %,E,6 mph,0 mph,30.11 in,0.0 in,Partly Cloudy
2000-10-29,20:35:00,64 °F,54 °F,68 %,S,12 mph,0 mph,30.01 in,0.0 in,Cloudy
2000-10-29,20:51:00,62 °F,57 °F,84 %,S,13 mph,0 mph,30.00 in,0.0 in,Cloudy
2000-10-29,21:51:00,61 °F,57 °F,87 %,SE,12 mph,0 mph,29.99 in,0.1 in,Cloudy
2000-10-29,21:54:00,61 °F,57 °F,88 %,SSE,12 mph,0 mph,30.00 in,0.0 in,Cloudy
2000-10-29,22:09:00,61 °F,59 °F,94 %,SSW,10 mph,0 mph,30.00 in,0.0 in,Cloudy
2000-10-29,22:18:00,61 °F,59 °F,94 %,SSW,14 mph,0 mph,30.00 in,0.2 in,Cloudy
2000-10-29,22:26:00,61 °F,59 °F,94 %,SSW,14 mph,0 mph,30.00 in,0.2 in,Cloudy
2000-10-29,22:51:00,59 °F,58 °F,96 %,SSE,13 mph,0 mph,29.99 in,0.3 in,Cloudy
2000-10-29,23:15:00,61 °F,59 °F,94 %,SSE,12 mph,0 mph,29.98 in,0.1 in,Cloudy
2000-10-29,23:24:00,61 °F,59 °F,94 %,SSE,17 mph,21 mph,29.98 in,0.1 in,Cloudy
2000-10-29,23:37:00,61 °F,57 °F,88 %,W,16 mph,20 mph,29.98 in,0.1 in,Cloudy
2000-11-12,16:51:00,60 °F,42 °F,51 %,NNW,12 mph,0 mph,30.12 in,0.0 in,Fair
2000-11-12,17:51:00,58 °F,42 °F,56 %,N,5 mph,0 mph,30.13 in,0.0 in,Fair
2000-11-12,18:51:00,57 °F,42 °F,57 %,NNE,3 mph,0 mph,30.14 in,0.0 in,Fair
2000-11-12,19:51:00,56 °F,43 °F,62 %,CALM,0 mph,0 mph,30.14 in,0.0 in,Fair
2000-11-26,16:51:00,58 °F,55 °F,90 %,NW,12 mph,0 mph,29.99 in,0.0 in,Fair
2000-11-26,17:51:00,61 °F,46 °F,58 %,CALM,0 mph,0 mph,29.99 in,0.0 in,Fair
2000-11-26,18:51:00,61 °F,45 °F,56 %,CALM,0 mph,0 mph,30.01 in,0.0 in,Fair
2000-11-26,19:51:00,58 °F,46 °F,65 %,NNW,3 mph,0 mph,30.03 in,0.0 in,Fair
2000-12-3,16:51:00,59 °F,55 °F,87 %,NNW,6 mph,0 mph,30.03 in,0.0 in,Fair
2000-12-3,17:51:00,58 °F,55 °F,90 %,WNW,3 mph,0 mph,30.05 in,0.0 in,Fair
2000-12-3,18:51:00,57 °F,55 °F,93 %,CALM,0 mph,0 mph,30.06 in,0.0 in,Fair
2000-12-3,19:51:00,57 °F,55 °F,93 %,CALM,0 mph,0 mph,30.07 in,0.0 in,Fair
2000-12-24,16:51:00,57 °F,53 °F,87 %,W,6 mph,0 mph,29.93 in,0.0 in,Partly Cloudy
2000-12-24,17:51:00,56 °F,53 °F,90 %,NNW,5 mph,0 mph,29.94 in,0.0 in,Fair
2000-12-24,18:51:00,55 °F,52 °F,89 %,CALM,0 mph,0 mph,29.94 in,0.0 in,Fair
2000-12-24,19:51:00,54 °F,52 °F,93 %,CALM,0 mph,0 mph,29.93 in,0.0 in,Fair
2001-9-9,16:51:00,67 °F,63 °F,87 %,WNW,9 mph,0 mph,29.86 in,0.0 in,Cloudy
2001-9-9,17:51:00,67 °F,63 °F,87 %,WNW,8 mph,0 mph,29.86 in,0.0 in,Cloudy
2001-9-9,18:51:00,66 °F,63 °F,90 %,VAR,7 mph,0 mph,29.87 in,0.0 in,Cloudy
2001-9-9,19:51:00,66 °F,61 °F,84 %,NW,8 mph,0 mph,29.88 in,0.0 in,Cloudy
2001-9-30,16:51:00,74 °F,65 °F,73 %,WNW,7 mph,0 mph,29.74 in,0.0 in,Partly Cloudy
2001-9-30,17:51:00,70 °F,69 °F,97 %,SSW,10 mph,0 mph,29.80 in,0.0 in,Mostly Cloudy
2001-9-30,18:51:00,72 °F,65 °F,78 %,NW,5 mph,0 mph,29.78 in,0.0 in,Mostly Cloudy
2001-9-30,19:51:00,72 °F,61 °F,68 %,CALM,0 mph,0 mph,29.82 in,0.0 in,Partly Cloudy
2001-10-21,13:51:00,68 °F,60 °F,76 %,VAR,6 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy
2001-10-21,14:51:00,67 °F,60 °F,79 %,WSW,6 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2001-10-21,15:51:00,67 °F,61 °F,81 %,WNW,6 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2001-10-21,16:51:00,65 °F,61 °F,87 %,W,6 mph,0 mph,29.91 in,0.0 in,Mostly Cloudy
2001-10-28,13:51:00,67 °F,59 °F,76 %,W,10 mph,0 mph,30.07 in,0.0 in,Cloudy
2001-10-28,14:51:00,66 °F,60 °F,81 %,WNW,12 mph,0 mph,30.07 in,0.0 in,Cloudy
2001-10-28,15:51:00,67 °F,59 °F,76 %,WNW,9 mph,0 mph,30.07 in,0.0 in,Cloudy
2001-10-28,16:51:00,66 °F,60 °F,81 %,WNW,7 mph,0 mph,30.07 in,0.0 in,Cloudy
2001-11-4,16:31:00,64 °F,63 °F,94 %,WNW,8 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2001-11-4,16:51:00,64 °F,63 °F,96 %,WNW,7 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2001-11-4,17:51:00,65 °F,63 °F,93 %,NW,5 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy
2001-11-4,18:51:00,65 °F,63 °F,93 %,NNW,6 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy
2001-11-4,19:09:00,64 °F,63 °F,94 %,NNW,5 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2001-11-4,19:51:00,64 °F,63 °F,96 %,NNW,5 mph,0 mph,29.98 in,0.0 in,Partly Cloudy
2001-11-25,16:51:00,59 °F,44 °F,58 %,W,8 mph,0 mph,30.08 in,0.0 in,Mostly Cloudy
2001-11-25,17:51:00,58 °F,46 °F,65 %,NNW,3 mph,0 mph,30.09 in,0.0 in,Mostly Cloudy
2001-11-25,18:51:00,58 °F,46 °F,65 %,CALM,0 mph,0 mph,30.11 in,0.0 in,Mostly Cloudy
2001-11-25,19:51:00,57 °F,45 °F,64 %,CALM,0 mph,0 mph,30.12 in,0.0 in,Partly Cloudy
2001-12-15,17:51:00,55 °F,45 °F,69 %,N,6 mph,0 mph,30.05 in,0.0 in,Fair
2001-12-15,18:51:00,54 °F,45 °F,72 %,CALM,0 mph,0 mph,30.08 in,0.0 in,Fair
2001-12-15,19:51:00,53 °F,44 °F,71 %,CALM,0 mph,0 mph,30.10 in,0.0 in,Fair
2001-12-15,20:51:00,52 °F,43 °F,71 %,CALM,0 mph,0 mph,30.12 in,0.0 in,Fair
2001-12-30,16:51:00,61 °F,55 °F,81 %,WSW,6 mph,0 mph,30.08 in,0.0 in,Cloudy
2001-12-30,17:51:00,60 °F,56 °F,86 %,NW,6 mph,0 mph,30.09 in,0.0 in,Cloudy
2001-12-30,18:51:00,60 °F,56 °F,86 %,CALM,0 mph,0 mph,30.08 in,0.0 in,Mostly Cloudy
2001-12-30,19:51:00,59 °F,57 °F,93 %,VAR,3 mph,0 mph,30.08 in,0.0 in,Cloudy
2002-9-15,16:51:00,70 °F,63 °F,78 %,W,8 mph,0 mph,29.82 in,0.0 in,Partly Cloudy
2002-9-15,17:51:00,71 °F,63 °F,75 %,CALM,0 mph,0 mph,29.81 in,0.0 in,Fair
2002-9-15,18:51:00,69 °F,63 °F,81 %,WNW,8 mph,0 mph,29.83 in,0.0 in,Fair
2002-9-15,19:51:00,68 °F,65 °F,90 %,NW,7 mph,0 mph,29.83 in,0.0 in,Fair
2002-9-29,16:51:00,68 °F,58 °F,70 %,WNW,15 mph,0 mph,29.93 in,0.0 in,Partly Cloudy
2002-9-29,17:51:00,67 °F,57 °F,70 %,NW,13 mph,0 mph,29.93 in,0.0 in,Partly Cloudy
2002-9-29,18:51:00,67 °F,55 °F,66 %,NW,10 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
2002-9-29,19:51:00,66 °F,56 °F,70 %,NW,9 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2002-10-13,16:51:00,65 °F,58 °F,78 %,NW,7 mph,0 mph,29.99 in,0.0 in,Cloudy
2002-10-13,17:51:00,64 °F,57 °F,77 %,WNW,6 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy
2002-10-13,18:01:00,64 °F,57 °F,77 %,NW,5 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy
2002-10-13,18:51:00,64 °F,58 °F,80 %,WNW,7 mph,0 mph,30.00 in,0.0 in,Cloudy
2002-10-13,19:51:00,64 °F,58 °F,80 %,WNW,6 mph,0 mph,29.99 in,0.0 in,Cloudy
2002-11-3,16:51:00,65 °F,56 °F,73 %,W,5 mph,0 mph,29.82 in,0.0 in,Mostly Cloudy
2002-11-3,17:51:00,63 °F,58 °F,84 %,SSW,5 mph,0 mph,29.84 in,0.0 in,Partly Cloudy
2002-11-3,18:51:00,62 °F,58 °F,86 %,SSW,3 mph,0 mph,29.86 in,0.0 in,Fair
2002-11-3,19:51:00,63 °F,57 °F,82 %,SSE,6 mph,0 mph,29.88 in,0.0 in,Partly Cloudy
2002-11-3,19:55:00,63 °F,57 °F,82 %,S,5 mph,0 mph,29.88 in,0.0 in,Mostly Cloudy
2002-11-17,16:51:00,63 °F,58 °F,84 %,WNW,6 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy
2002-11-17,17:51:00,62 °F,58 °F,86 %,CALM,0 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2002-11-17,18:51:00,62 °F,56 °F,80 %,CALM,0 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy
2002-11-17,19:51:00,60 °F,55 °F,83 %,NNW,3 mph,0 mph,30.02 in,0.0 in,Partly Cloudy
2002-12-1,16:51:00,61 °F,53 °F,75 %,NW,8 mph,0 mph,30.01 in,0.0 in,Fair
2002-12-1,17:51:00,60 °F,53 °F,78 %,NW,5 mph,0 mph,30.02 in,0.0 in,Fair
2002-12-1,18:51:00,59 °F,53 °F,81 %,CALM,0 mph,0 mph,30.04 in,0.0 in,Fair
2002-12-1,19:51:00,58 °F,52 °F,81 %,NE,3 mph,0 mph,30.04 in,0.0 in,Fair
2002-12-8,16:51:00,61 °F,57 °F,87 %,NW,13 mph,0 mph,30.12 in,0.0 in,Mostly Cloudy
2002-12-8,17:01:00,61 °F,57 °F,88 %,NW,13 mph,0 mph,30.13 in,0.0 in,Mostly Cloudy
2002-12-8,17:33:00,61 °F,55 °F,82 %,N,7 mph,0 mph,30.13 in,0.0 in,Mostly Cloudy
2002-12-8,17:51:00,61 °F,56 °F,83 %,N,9 mph,0 mph,30.13 in,0.0 in,Partly Cloudy
2002-12-8,18:18:00,61 °F,55 °F,82 %,NNW,8 mph,0 mph,30.15 in,0.0 in,Mostly Cloudy
2002-12-8,18:51:00,60 °F,56 °F,86 %,N,5 mph,0 mph,30.15 in,0.0 in,Mostly Cloudy
2002-12-8,19:09:00,61 °F,55 °F,82 %,N,5 mph,0 mph,30.15 in,0.0 in,Partly Cloudy
2002-12-8,19:51:00,60 °F,55 °F,83 %,CALM,0 mph,0 mph,30.15 in,0.0 in,Fair
