Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-10,16:53:00,73 °F,55 °F,53 %,NNW,10 mph,0 mph,29.81 in,0.0 in,Fair
2000-9-10,17:53:00,70 °F,56 °F,61 %,NW,8 mph,0 mph,29.81 in,0.0 in,Fair
2000-9-10,18:53:00,66 °F,56 °F,70 %,NW,10 mph,0 mph,29.82 in,0.0 in,Fair
2000-9-10,19:53:00,64 °F,58 °F,80 %,NW,9 mph,0 mph,29.84 in,0.0 in,Fair
2000-10-1,16:53:00,76 °F,59 °F,56 %,NW,12 mph,0 mph,29.78 in,0.0 in,Fair
2000-10-1,17:53:00,68 °F,60 °F,76 %,NW,10 mph,0 mph,29.80 in,0.0 in,Fair
2000-10-1,18:53:00,67 °F,60 °F,79 %,WNW,9 mph,0 mph,29.81 in,0.0 in,Fair
2000-10-1,19:53:00,65 °F,59 °F,81 %,WNW,5 mph,0 mph,29.83 in,0.0 in,Fair
2000-10-8,16:53:00,66 °F,55 °F,69 %,NW,13 mph,0 mph,29.86 in,0.0 in,Fair
2000-10-8,17:53:00,65 °F,55 °F,70 %,NNW,10 mph,0 mph,29.87 in,0.0 in,Fair
2000-10-8,18:53:00,61 °F,52 °F,72 %,NNW,9 mph,0 mph,29.89 in,0.0 in,Fair
2000-10-8,19:53:00,60 °F,51 °F,72 %,N,6 mph,0 mph,29.89 in,0.0 in,Fair
2000-10-29,16:53:00,59 °F,43 °F,55 %,W,9 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy
2000-10-29,17:53:00,56 °F,44 °F,64 %,W,9 mph,0 mph,29.93 in,0.0 in,Partly Cloudy
2000-10-29,18:53:00,54 °F,45 °F,72 %,W,6 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
2000-10-29,19:53:00,54 °F,45 °F,72 %,SSW,3 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2000-11-12,16:53:00,53 °F,30 °F,41 %,NW,10 mph,0 mph,30.18 in,0.0 in,Fair
