Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-10,16:53:00,60 °F,53 °F,78 %,E,3 mph,0 mph,29.94 in,0.0 in,Mostly Cloudy
2000-9-10,17:53:00,60 °F,53 °F,78 %,E,5 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy
2000-9-10,18:53:00,58 °F,53 °F,84 %,ENE,5 mph,0 mph,29.96 in,0.0 in,Cloudy
2000-9-10,19:53:00,58 °F,52 °F,81 %,ENE,5 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy
2000-9-17,16:53:00,73 °F,56 °F,55 %,VAR,7 mph,0 mph,30.15 in,0.0 in,Mostly Cloudy
2000-9-17,17:53:00,71 °F,56 °F,59 %,W,5 mph,0 mph,30.14 in,0.0 in,Mostly Cloudy
2000-9-17,18:53:00,69 °F,57 °F,65 %,WNW,3 mph,0 mph,30.14 in,0.0 in,Partly Cloudy
2000-9-17,19:53:00,67 °F,57 °F,70 %,CALM,0 mph,0 mph,30.16 in,0.0 in,Mostly Cloudy
2000-10-15,16:53:00,55 °F,47 °F,74 %,SSE,6 mph,0 mph,30.03 in,0.0 in,Cloudy
2000-10-15,17:53:00,54 °F,47 °F,77 %,S,3 mph,0 mph,30.03 in,0.0 in,Cloudy
2000-10-15,18:53:00,53 °F,48 °F,83 %,SSE,5 mph,0 mph,30.03 in,0.0 in,Cloudy
2000-10-15,19:53:00,50 °F,47 °F,89 %,SSE,5 mph,0 mph,30.02 in,0.0 in,Cloudy
2000-10-29,16:53:00,54 °F,46 °F,75 %,WNW,3 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy
2000-10-29,17:53:00,52 °F,47 °F,83 %,CALM,0 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2000-10-29,18:53:00,53 °F,48 °F,83 %,CALM,0 mph,0 mph,29.93 in,0.0 in,Cloudy
2000-10-29,19:53:00,52 °F,47 °F,83 %,CALM,0 mph,0 mph,29.94 in,0.0 in,Cloudy
2000-11-5,16:53:00,47 °F,46 °F,97 %,SSE,9 mph,0 mph,29.97 in,0.0 in,Cloudy
2000-11-5,17:16:00,46 °F,46 °F,100 %,SE,7 mph,0 mph,29.97 in,0.0 in,Cloudy
2000-11-5,17:53:00,47 °F,46 °F,97 %,SE,7 mph,0 mph,29.96 in,0.0 in,Cloudy
2000-11-5,18:53:00,47 °F,46 °F,97 %,SE,7 mph,0 mph,29.96 in,0.0 in,Cloudy
2000-11-5,19:53:00,47 °F,46 °F,97 %,SE,7 mph,0 mph,29.96 in,0.0 in,Cloudy
2000-11-26,16:53:00,47 °F,46 °F,97 %,SSE,9 mph,0 mph,29.90 in,0.1 in,Cloudy
2000-11-26,17:53:00,47 °F,46 °F,97 %,SSE,9 mph,0 mph,29.90 in,0.1 in,Cloudy
2000-11-26,18:02:00,48 °F,46 °F,93 %,S,8 mph,0 mph,29.90 in,0.0 in,Cloudy
2000-11-26,18:53:00,49 °F,46 °F,90 %,S,12 mph,0 mph,29.90 in,0.1 in,Cloudy
