Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-10,13:53:00,91 °F,70 °F,50 %,SE,7 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2000-9-10,14:45:00,93 °F,70 °F,46 %,E,5 mph,0 mph,29.91 in,0.0 in,Mostly Cloudy
2000-9-10,14:53:00,89 °F,71 °F,55 %,ENE,14 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy
2000-9-10,15:53:00,83 °F,74 °F,74 %,NE,9 mph,0 mph,29.92 in,0.0 in,Mostly Cloudy
2000-9-10,16:53:00,81 °F,74 °F,79 %,NNE,10 mph,0 mph,29.93 in,0.0 in,Cloudy
2000-9-24,16:53:00,87 °F,75 °F,67 %,N,6 mph,0 mph,29.86 in,0.0 in,Cloudy
2000-9-24,17:53:00,86 °F,74 °F,67 %,NNW,9 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2000-9-24,18:53:00,82 °F,77 °F,85 %,E,6 mph,0 mph,29.88 in,0.0 in,Mostly Cloudy
2000-9-24,19:53:00,78 °F,74 °F,87 %,CALM,0 mph,0 mph,29.89 in,0.0 in,Partly Cloudy
2000-10-19,22:53:00,68 °F,65 °F,90 %,CALM,0 mph,0 mph,30.05 in,0.0 in,Fair
2000-10-19,23:53:00,67 °F,63 °F,87 %,E,3 mph,0 mph,30.06 in,0.0 in,Fair
2000-10-19,20:53:00,76 °F,64 °F,67 %,E,5 mph,0 mph,30.07 in,0.0 in,Fair
2000-10-19,21:53:00,74 °F,63 °F,68 %,E,5 mph,0 mph,30.07 in,0.0 in,Fair
2000-10-29,13:53:00,81 °F,71 °F,72 %,WSW,8 mph,0 mph,30.05 in,0.0 in,Fair
2000-10-29,14:53:00,82 °F,72 °F,71 %,SW,7 mph,0 mph,30.04 in,0.0 in,Partly Cloudy
2000-10-29,15:53:00,82 °F,71 °F,69 %,W,8 mph,0 mph,30.04 in,0.0 in,Partly Cloudy
2000-10-29,16:53:00,80 °F,72 °F,76 %,WNW,8 mph,0 mph,30.04 in,0.0 in,Fair
2000-11-12,16:53:00,74 °F,56 °F,53 %,N,8 mph,0 mph,29.93 in,0.0 in,Fair
2000-11-12,17:53:00,71 °F,49 °F,45 %,CALM,0 mph,0 mph,29.93 in,0.0 in,Fair
2000-11-12,18:53:00,67 °F,53 °F,61 %,CALM,0 mph,0 mph,29.94 in,0.0 in,Fair
2000-11-12,19:53:00,66 °F,57 °F,73 %,CALM,0 mph,0 mph,29.96 in,0.0 in,Fair
2000-11-26,13:05:00,66 °F,64 °F,94 %,SSW,5 mph,0 mph,29.99 in,0.0 in,Cloudy
2000-11-26,13:53:00,65 °F,63 °F,93 %,SW,6 mph,0 mph,29.98 in,0.0 in,Cloudy
2000-11-26,14:53:00,66 °F,64 °F,93 %,VAR,3 mph,0 mph,29.98 in,0.0 in,Cloudy
2000-11-26,15:21:00,66 °F,64 °F,94 %,S,5 mph,0 mph,29.98 in,0.0 in,Cloudy
2000-11-26,15:53:00,66 °F,64 °F,93 %,SSW,5 mph,0 mph,29.98 in,0.0 in,Cloudy
2000-11-26,16:53:00,66 °F,64 °F,93 %,WNW,5 mph,0 mph,30.00 in,0.0 in,Cloudy
2000-12-3,13:53:00,65 °F,54 °F,68 %,NNW,13 mph,0 mph,30.12 in,0.0 in,Partly Cloudy
2000-12-3,14:53:00,65 °F,53 °F,65 %,NNW,14 mph,0 mph,30.12 in,0.0 in,Fair
2000-12-3,15:53:00,63 °F,52 °F,67 %,NNW,12 mph,0 mph,30.13 in,0.0 in,Partly Cloudy
2000-12-3,16:53:00,60 °F,50 °F,69 %,NNW,13 mph,0 mph,30.15 in,0.0 in,Partly Cloudy
2001-10-7,16:53:00,87 °F,72 °F,61 %,NE,8 mph,0 mph,29.99 in,0.0 in,Partly Cloudy
2001-10-7,17:53:00,80 °F,73 °F,79 %,ENE,12 mph,20 mph,30.02 in,0.0 in,Mostly Cloudy
2001-10-7,18:53:00,75 °F,71 °F,87 %,NE,13 mph,22 mph,30.05 in,0.0 in,Mostly Cloudy
2001-10-7,19:53:00,74 °F,70 °F,87 %,NE,9 mph,0 mph,30.07 in,0.0 in,Partly Cloudy
2001-10-21,13:53:00,80 °F,74 °F,81 %,NE,8 mph,0 mph,29.99 in,0.0 in,Cloudy
2001-10-21,14:53:00,81 °F,74 °F,79 %,NE,10 mph,0 mph,29.98 in,0.0 in,Cloudy
2001-10-21,15:53:00,79 °F,74 °F,84 %,ENE,8 mph,0 mph,30.00 in,0.0 in,Cloudy
2001-10-21,16:43:00,75 °F,73 °F,94 %,S,6 mph,0 mph,30.01 in,0.1 in,Cloudy
2001-10-21,16:53:00,73 °F,72 °F,94 %,SE,8 mph,0 mph,30.02 in,0.0 in,Cloudy
2001-10-28,13:53:00,69 °F,51 °F,53 %,NE,8 mph,18 mph,30.25 in,0.0 in,Partly Cloudy
2001-10-28,14:53:00,70 °F,50 °F,49 %,ENE,14 mph,21 mph,30.25 in,0.0 in,Partly Cloudy
2001-10-28,15:53:00,69 °F,49 °F,49 %,NE,14 mph,21 mph,30.25 in,0.0 in,Partly Cloudy
2001-10-28,16:53:00,68 °F,50 °F,52 %,NE,12 mph,17 mph,30.25 in,0.0 in,Partly Cloudy
2001-11-18,16:53:00,79 °F,62 °F,56 %,ENE,8 mph,0 mph,30.11 in,0.0 in,Partly Cloudy
2001-11-18,17:53:00,76 °F,62 °F,62 %,NE,5 mph,0 mph,30.12 in,0.0 in,Partly Cloudy
2001-11-18,18:53:00,74 °F,64 °F,71 %,VAR,5 mph,0 mph,30.13 in,0.0 in,Mostly Cloudy
2001-11-18,19:53:00,73 °F,63 °F,71 %,ENE,6 mph,0 mph,30.15 in,0.0 in,Mostly Cloudy
2001-12-9,13:53:00,80 °F,71 °F,74 %,WSW,6 mph,0 mph,29.91 in,0.0 in,Partly Cloudy
2001-12-9,14:53:00,81 °F,70 °F,69 %,WSW,5 mph,0 mph,29.90 in,0.0 in,Partly Cloudy
2001-12-9,15:53:00,81 °F,68 °F,65 %,SW,6 mph,0 mph,29.90 in,0.0 in,Partly Cloudy
2001-12-9,16:53:00,78 °F,69 °F,74 %,SW,5 mph,0 mph,29.91 in,0.0 in,Partly Cloudy
2001-12-23,13:53:00,76 °F,60 °F,58 %,SSE,13 mph,18 mph,30.03 in,0.0 in,Mostly Cloudy
2001-12-23,14:53:00,77 °F,61 °F,58 %,SE,9 mph,0 mph,30.01 in,0.0 in,Mostly Cloudy
2001-12-23,15:53:00,76 °F,61 °F,60 %,SE,8 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy
