Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-10,13:53:00,87 °F,65 °F,48 %,SSW,9 mph,0 mph,29.37 in,0.0 in,Mostly Cloudy
2000-9-10,14:53:00,88 °F,65 °F,46 %,SSE,6 mph,0 mph,29.35 in,0.0 in,Mostly Cloudy
2000-9-10,15:53:00,87 °F,64 °F,46 %,VAR,5 mph,0 mph,29.35 in,0.0 in,Mostly Cloudy
2000-9-10,16:53:00,85 °F,64 °F,49 %,ESE,10 mph,0 mph,29.34 in,0.0 in,Partly Cloudy
2000-10-1,13:53:00,78 °F,62 °F,58 %,NE,10 mph,0 mph,29.34 in,0.0 in,Mostly Cloudy
2000-10-1,14:53:00,77 °F,61 °F,58 %,ENE,7 mph,0 mph,29.33 in,0.0 in,Mostly Cloudy
2000-10-1,15:53:00,78 °F,61 °F,56 %,ENE,6 mph,0 mph,29.32 in,0.0 in,Mostly Cloudy
2000-10-1,16:53:00,77 °F,58 °F,52 %,SSW,6 mph,0 mph,29.32 in,0.0 in,Fair
2000-11-5,13:53:00,66 °F,41 °F,40 %,E,9 mph,0 mph,29.32 in,0.0 in,Cloudy
2000-11-5,14:53:00,66 °F,45 °F,46 %,NE,8 mph,0 mph,29.31 in,0.0 in,Mostly Cloudy
2000-11-5,15:53:00,66 °F,44 °F,44 %,ENE,10 mph,0 mph,29.29 in,0.0 in,Mostly Cloudy
2000-11-5,16:53:00,62 °F,42 °F,48 %,ENE,9 mph,0 mph,29.28 in,0.0 in,Mostly Cloudy
2000-11-12,13:53:00,61 °F,38 °F,42 %,VAR,3 mph,0 mph,29.35 in,0.0 in,Mostly Cloudy
2000-11-12,14:53:00,61 °F,37 °F,41 %,CALM,0 mph,0 mph,29.33 in,0.0 in,Partly Cloudy
2000-11-12,15:53:00,59 °F,39 °F,48 %,S,5 mph,0 mph,29.31 in,0.0 in,Mostly Cloudy
2000-11-12,16:53:00,57 °F,37 °F,47 %,SSW,3 mph,0 mph,29.33 in,0.0 in,Mostly Cloudy
2000-11-19,13:53:00,50 °F,22 °F,33 %,W,10 mph,0 mph,29.44 in,0.0 in,Fair
2000-11-19,14:53:00,50 °F,21 °F,32 %,SW,9 mph,0 mph,29.44 in,0.0 in,Fair
