Date, Time, Temperature, Dew Point,Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition
2000-9-3,13:51:00,81 °F,75 °F,82 %,S,8 mph,0 mph,29.86 in,0.0 in,Cloudy
2000-9-3,14:51:00,83 °F,74 °F,74 %,CALM,0 mph,0 mph,29.83 in,0.0 in,Cloudy
2000-9-3,15:51:00,82 °F,74 °F,76 %,CALM,0 mph,0 mph,29.82 in,0.0 in,Cloudy
2000-9-3,16:37:00,77 °F,73 °F,89 %,SE,17 mph,23 mph,29.83 in,0.0 in,Cloudy
2000-9-3,16:44:00,75 °F,73 °F,94 %,SE,16 mph,0 mph,29.84 in,0.0 in,Cloudy
2000-9-3,16:51:00,76 °F,74 °F,94 %,SSE,13 mph,0 mph,29.84 in,0.0 in,Cloudy
2000-10-1,16:51:00,67 °F,61 °F,81 %,E,8 mph,0 mph,30.07 in,0.0 in,Cloudy
2000-10-1,17:51:00,66 °F,61 °F,84 %,ENE,6 mph,0 mph,30.07 in,0.0 in,Cloudy
2000-10-1,18:51:00,66 °F,60 °F,81 %,NNE,3 mph,0 mph,30.06 in,0.0 in,Cloudy
2000-10-1,19:51:00,65 °F,62 °F,90 %,ENE,5 mph,0 mph,30.06 in,0.0 in,Cloudy
2000-10-15,13:51:00,79 °F,58 °F,48 %,N,7 mph,0 mph,30.04 in,0.0 in,Fair
2000-10-15,14:51:00,79 °F,58 °F,48 %,NNW,6 mph,0 mph,30.04 in,0.0 in,Partly Cloudy
2000-10-15,15:51:00,78 °F,58 °F,50 %,NW,7 mph,0 mph,30.03 in,0.0 in,Partly Cloudy
2000-10-15,16:51:00,76 °F,58 °F,54 %,NW,7 mph,0 mph,30.05 in,0.0 in,Fair
2000-11-26,13:51:00,55 °F,45 °F,69 %,NW,9 mph,0 mph,29.70 in,0.0 in,Partly Cloudy
2000-11-26,14:51:00,57 °F,45 °F,64 %,NW,12 mph,0 mph,29.71 in,0.0 in,Partly Cloudy
2000-11-26,15:51:00,55 °F,44 °F,67 %,WNW,8 mph,0 mph,29.72 in,0.0 in,Partly Cloudy
2000-11-26,16:51:00,55 °F,44 °F,67 %,W,6 mph,0 mph,29.72 in,0.0 in,Mostly Cloudy
2000-12-3,13:51:00,33 °F,13 °F,43 %,N,15 mph,0 mph,30.50 in,0.0 in,Fair
2000-12-3,14:51:00,35 °F,12 °F,39 %,N,15 mph,0 mph,30.48 in,0.0 in,Partly Cloudy
2000-12-3,15:51:00,35 °F,13 °F,40 %,N,12 mph,0 mph,30.48 in,0.0 in,Partly Cloudy
2000-12-3,16:51:00,33 °F,13 °F,43 %,N,12 mph,0 mph,30.48 in,0.0 in,Partly Cloudy
2000-12-24,13:51:00,37 °F,22 °F,54 %,S,12 mph,0 mph,30.16 in,0.0 in,Fair
2000-12-24,14:51:00,38 °F,22 °F,53 %,S,7 mph,0 mph,30.14 in,0.0 in,Fair
2000-12-24,15:51:00,40 °F,19 °F,43 %,SSW,6 mph,0 mph,30.15 in,0.0 in,Fair
2000-12-24,16:51:00,40 °F,18 °F,41 %,WSW,3 mph,0 mph,30.16 in,0.0 in,Fair
2001-9-30,13:51:00,61 °F,43 °F,52 %,N,17 mph,0 mph,30.10 in,0.0 in,Mostly Cloudy
2001-9-30,14:51:00,61 °F,42 °F,50 %,N,18 mph,22 mph,30.10 in,0.0 in,Cloudy
2001-9-30,15:51:00,60 °F,41 °F,49 %,NNE,18 mph,0 mph,30.08 in,0.0 in,Cloudy
2001-9-30,16:51:00,60 °F,41 °F,49 %,N,16 mph,0 mph,30.08 in,0.0 in,Cloudy
2001-10-21,13:51:00,76 °F,54 °F,46 %,SSE,12 mph,0 mph,30.13 in,0.0 in,Partly Cloudy
2001-10-21,14:51:00,75 °F,56 °F,51 %,S,15 mph,0 mph,30.11 in,0.0 in,Partly Cloudy
